case_key,case_family,case_label,batch_size,fresh_len,prefix_len,mean_makespan_ms,mean_kernel_time_sum_ms,std_makespan_ms,std_kernel_time_sum_ms,n_samples_makespan,n_samples_kernel_sum,pct_increase_vs_kernel_sum,display_label
fresh:8:1:0,fresh,"b8
f1
p0",8,1,0,0.1326784,0.925648,0.0016996790285227425,0.033364103984172326,5,4,-85.6664304357596,"b8
f1
p0"
prefix:4:512:512,prefix,"b4
f512
p512",4,512,512,0.99978375,1.9388792,0.002066583714733071,0.61604924943441,4,5,-48.434964385609995,"b4
f512
p512"
fresh:4:512:0,fresh,"b4
f512
p0",4,512,0,0.818912,1.3838293333333331,0.0015731073284003044,0.0622266090136151,4,3,-40.82276041746958,"b4
f512
p0"
fresh:1:4500:0,fresh,"b1
f4500
p0",1,4500,0,2.5660928,3.288368,0.006012237121072333,0.5271496392739603,5,4,-21.96454897991953,"b1
f4500
p0"
fresh:12:300:0,fresh,"b12
f300
p0",12,300,0,1.4090368,1.544744,0.01606984116909687,0.01717106154746026,5,4,-8.785093193435282,"b12
f300
p0"
prefix:4:2048:1024,prefix,"b4
f2048
p1024",4,2048,1024,4.4863854000000005,4.901022,0.029267464423827418,0.03427926471401245,5,4,-8.460206871138299,"b4
f2048
p1024"
fresh:4:1200:0,fresh,"b4
f1200
p0",4,1200,0,1.976056,2.151328,0.0021581028705786997,0.0031256427605641855,4,4,-8.147153758050836,"b4
f1200
p0"
fresh:4:2048:0,fresh,"b4
f2048
p0",4,2048,0,3.5082678,3.791151,0.014008977236044258,0.013695239854294662,5,4,-7.461670611378975,"b4
f2048
p0"
prefix:2:4096:4096,prefix,"b2
f4096
p4096",2,4096,4096,7.94875725,8.54713275,0.029883476553384594,0.1051775130351064,4,4,-7.000891614793272,"b2
f4096
p4096"
fresh:2:4096:0,fresh,"b2
f4096
p0",2,4096,0,4.34213475,4.651991,0.006552947040581916,0.058057115785521085,4,4,-6.660723333299661,"b2
f4096
p0"
prefix:1:8192:8192,prefix,"b1
f8192
p8192",1,8192,8192,12.928047,13.776850200000002,0.07037447537282183,0.4024520444117531,4,5,-6.161083177053071,"b1
f8192
p8192"
prefix:1:8192:10500,prefix,"b1
f8192
p10500",1,8192,10500,14.98066575,15.8630584,0.08200673666789005,0.35381858703055724,4,5,-5.562563206600815,"b1
f8192
p10500"
fresh:1:6000:0,fresh,"b1
f6000
p0",1,6000,0,3.8249786,4.035871,0.005973450619198234,0.004846917370865546,5,4,-5.225449475466388,"b1
f6000
p0"
prefix:1:8192:4096,prefix,"b1
f8192
p4096",1,8192,4096,9.401726499999999,9.91540625,0.013628130918557338,0.19190525426257432,4,4,-5.180622326997458,"b1
f8192
p4096"
prefix:1:8192:0,prefix,"b1
f8192
p0",1,8192,0,6.003423,6.3255665,0.013478522569876089,0.07851109774844997,4,4,-5.0927217348833524,"prefix
b1
f8192
p0"
fresh:1:8192:0,fresh,"b1
f8192
p0",1,8192,0,6.00071875,6.3212785,0.006779746375541758,0.07702581953475103,4,4,-5.071122083926538,"fresh
b1
f8192
p0"
prefix:1:8192:1024,prefix,"b1
f8192
p1024",1,8192,1024,6.8534465,7.217614,0.00793428948719826,0.08880813320111344,4,4,-5.045538594887448,"b1
f8192
p1024"
prefix:1:8192:32000,prefix,"b1
f8192
p32000",1,8192,32000,34.504898600000004,35.9125292,0.889524485895304,0.6418532879846434,5,5,-3.9196086473352514,"b1
f8192
p32000"
