case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,real_makespan_mean_ms,real_kernel_sum_mean_ms,sim_mean_ms,sim_std_ms,sim_count,pct_increase_vs_sim_mean,pct_real_vs_kernel_sum
req1_equal_fresh_regular_b1_f1_p0|decode|b1|f1|p0,"b1
f1
p0",1,1,0,0.013388800000000001,0.00023796470326500083,5,0.1692544,0.013388800000000001,0.013368000090122201,0.0,5,0.15559477661261645,0.0
req1_equal_fresh_irregular_b1_f4500_p0|decode|b1|f4500|p0,"b1
f4500
p0",1,4500,0,0.026822400000000003,0.00021867967440985562,5,0.2834942,0.026822400000000003,0.024519329708346,0.0,5,9.39287622887209,0.0
req1_equal_fresh_irregular_b1_f6000_p0|decode|b1|f6000|p0,"b1
f6000
p0",1,6000,0,0.0294784,0.0001094568408095177,5,0.0703232,0.0294784,0.0258857365402946,0.0,5,13.87893079307571,0.0
req1_equal_fresh_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,0.0318656,0.00037070311571390916,5,0.0330752,0.0318656,0.0278821504762163,0.0,5,14.286737054882531,0.0
req1_equal_prefix_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,0.0317184,0.000437242266941339,5,0.0329856,0.0317184,0.0278821504762163,0.0,5,13.758800731873432,0.0
req1_equal_prefix_regular_b1_f8192_p1024|decode|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,0.032358399999999995,0.00024095808764181318,5,0.0339264,0.032358399999999995,0.0284443504264345,0.0,5,13.76037601452136,0.0
req1_equal_prefix_regular_b1_f8192_p4096|decode|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,0.0340096,0.000271905866063974,5,0.0356736,0.0340096,0.0301309502770891,0.0,5,12.872643203225294,0.0
req1_equal_prefix_regular_b1_f8192_p8192|decode|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,0.038694400000000004,0.0004253713671605094,5,0.0399808,0.038694400000000004,0.0323798938279651,0.0,5,19.501318335334815,0.0
req1_equal_prefix_regular_b1_f8192_p10500|decode|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,0.0407618,0.00014394512843441412,5,0.0421762,0.0407618,0.0339788148168736,0.0,5,19.962394861865597,0.0
req1_equal_prefix_regular_b1_f8192_p32000|decode|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,0.0551426,0.00014765432604566756,5,0.0565634,0.0551426,0.0474388378431285,0.0,5,16.239356837421735,0.0
req1_equal_fresh_regular_b2_f4096_p0|decode|b2|f4096|p0,"b2
f4096
p0",2,4096,0,0.0289342,0.00011586284995631613,5,0.0301184,0.0289342,0.025527745540603004,0.0,5,13.344125723828137,0.0
req1_equal_prefix_regular_b2_f4096_p4096|decode|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,0.0354624,0.000308928470685366,5,0.0368384,0.0354624,0.0310333833669574,0.0,5,14.271781393189523,0.0
req1_equal_fresh_regular_b4_f512_p0|decode|b4|f512|p0,"b4
f512
p0",4,512,0,0.022483200000000002,0.0002246846679237367,5,0.1740158,0.022483200000000002,0.0201865275768796,0.0,5,11.377253538894275,0.0
req1_equal_prefix_regular_b4_f512_p512|decode|b4|f512|p512,"b4
f512
p512",4,512,512,0.0260544,0.00022672626667415477,5,0.2044606,0.0260544,0.0222999776538927,0.0,5,16.835991517022553,0.0
req1_equal_fresh_irregular_b4_f1200_p0|decode|b4|f1200|p0,"b4
f1200
p0",4,1200,0,0.026624,0.0006554143727444482,5,0.0279296,0.026624,0.0230001279909629,0.0,5,15.75587757798988,0.0
req1_equal_fresh_regular_b4_f2048_p0|decode|b4|f2048|p0,"b4
f2048
p0",4,2048,0,0.0293504,0.0002671568827486954,5,0.030726399999999997,0.0293504,0.026371896799537296,0.0,5,11.294231973920667,0.0
req1_equal_prefix_regular_b4_f2048_p1024|decode|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,0.031206400000000002,0.00042836993358544615,5,0.0331072,0.031206400000000002,0.028722295697662,0.0,5,8.648696916452291,0.0
req1_equal_fresh_regular_b8_f1_p0|decode|b8|f1|p0,"b8
f1
p0",8,1,0,0.014175999999999961,0.00012598412598413848,5,0.09358079999999999,0.014176,0.0145952001214027,0.0,5,-2.8721779620411967,-2.6921498639594917e-13
req1_equal_fresh_irregular_b12_f300_p0|decode|b12|f300|p0,"b12
f300
p0",12,300,0,0.028096,0.0002589826248998181,5,0.059251200000000004,0.028096,0.0201866346673341,0.0,5,39.1811981690281,0.0
