case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,real_makespan_mean_ms,real_kernel_sum_mean_ms,sim_mean_ms,sim_std_ms,sim_count,pct_increase_vs_sim_mean,pct_real_vs_kernel_sum
req1_equal_fresh_regular_b1_f1_p0|decode|b1|f1|p0,"b1
f1
p0",1,1,0,0.013388800000000001,0.00023796470326500083,5,0.1692544,0.013388800000000001,0.0189024001359939,0.0,5,-29.168783309665088,0.0
req1_equal_fresh_irregular_b1_f4500_p0|decode|b1|f4500|p0,"b1
f4500
p0",1,4500,0,0.026822400000000003,0.00021867967440985562,5,0.2834942,0.026822400000000003,0.0354337526405288,0.0,5,-24.3026831729903,0.0
req1_equal_fresh_irregular_b1_f6000_p0|decode|b1|f6000|p0,"b1
f6000
p0",1,6000,0,0.0294784,0.0001094568408095177,5,0.0703232,0.0294784,0.0392446907826524,0.0,5,-24.885635707364173,0.0
req1_equal_fresh_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,0.0318656,0.00037070311571390916,5,0.0330752,0.0318656,0.0448140313688782,0.0,5,-28.89369907896847,0.0
req1_equal_prefix_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,0.0317184,0.000437242266941339,5,0.0329856,0.0317184,0.0448140313688782,0.0,5,-29.222167631124268,0.0
req1_equal_prefix_regular_b1_f8192_p1024|decode|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,0.032358399999999995,0.00024095808764181318,5,0.0339264,0.032358399999999995,0.0477122312251594,0.0,5,-32.18007381105893,0.0
req1_equal_prefix_regular_b1_f8192_p4096|decode|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,0.0340096,0.000271905866063974,5,0.0356736,0.0340096,0.056406830794003306,0.0,5,-39.70659311776897,0.0
req1_equal_prefix_regular_b1_f8192_p8192|decode|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,0.038694400000000004,0.0004253713671605094,5,0.0399808,0.038694400000000004,0.0679990803168038,0.0,5,-43.09570097165282,0.0
req1_equal_prefix_regular_b1_f8192_p10500|decode|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,0.0407618,0.00014394512843441412,5,0.0421762,0.0407618,0.0732621765215299,0.0,5,-44.361740347666114,0.0
req1_equal_prefix_regular_b1_f8192_p32000|decode|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,0.0551426,0.00014765432604566756,5,0.0565634,0.0551426,0.12241124449392368,0.0,5,-54.95299453251029,0.0
req1_equal_fresh_regular_b2_f4096_p0|decode|b2|f4096|p0,"b2
f4096
p0",2,4096,0,0.0289342,0.00011586284995631613,5,0.0301184,0.0289342,0.043893421919347,0.0,5,-34.080783099650276,0.0
req1_equal_prefix_regular_b2_f4096_p4096|decode|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,0.0354624,0.000308928470685366,5,0.0368384,0.0354624,0.0661021711428475,0.0,5,-46.35214035048051,0.0
req1_equal_fresh_regular_b4_f512_p0|decode|b4|f512|p0,"b4
f512
p0",4,512,0,0.022483200000000002,0.0002246846679237367,5,0.1740158,0.022483200000000002,0.028945451806066495,0.0,5,-22.325620789626473,0.0
req1_equal_prefix_regular_b4_f512_p512|decode|b4|f512|p512,"b4
f512
p512",4,512,512,0.0260544,0.00022672626667415477,5,0.2044606,0.0260544,0.033785551704932,0.0,5,-22.88301156794018,0.0
req1_equal_fresh_irregular_b4_f1200_p0|decode|b4|f1200|p0,"b4
f1200
p0",4,1200,0,0.026624,0.0006554143727444482,5,0.0279296,0.026624,0.0354666267638094,0.0,5,-24.932246369797227,0.0
req1_equal_fresh_regular_b4_f2048_p0|decode|b4|f2048|p0,"b4
f2048
p0",4,2048,0,0.0293504,0.0002671568827486954,5,0.030726399999999997,0.0293504,0.0435676403270917,0.0,5,-32.63256908189949,0.0
req1_equal_prefix_regular_b4_f2048_p1024|decode|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,0.031206400000000002,0.00042836993358544615,5,0.0331072,0.031206400000000002,0.0546676389800268,0.0,5,-42.91613725736084,0.0
req1_equal_fresh_regular_b8_f1_p0|decode|b8|f1|p0,"b8
f1
p0",8,1,0,0.014175999999999961,0.00012598412598413848,5,0.09358079999999999,0.014176,0.0194463998079299,0.0,5,-27.102187859887373,-2.6921498639594917e-13
req1_equal_fresh_irregular_b12_f300_p0|decode|b12|f300|p0,"b12
f300
p0",12,300,0,0.028096,0.0002589826248998181,5,0.059251200000000004,0.028096,0.030595186579739597,0.0,5,-8.168561329822321,0.0
