case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,real_makespan_mean_ms,real_kernel_sum_mean_ms,sim_mean_ms,sim_std_ms,sim_count,pct_increase_vs_sim_mean,pct_real_vs_kernel_sum
req1_equal_fresh_irregular_b1_f4500_p0|prefill|b1|f4500|p0,"b1
f4500
p0
irregular",1,4500,0,1.2237183999999999,0.003197711181454643,5,1.2574592,1.2237183999999999,5.0933125578569065,0.0,5,-75.97401718234823,0.0
req1_equal_fresh_irregular_b1_f6000_p0|prefill|b1|f6000|p0,"b1
f6000
p0
irregular",1,6000,0,2.0071871999999997,0.0016787957588698234,5,2.0161792,2.0071871999999997,8.3857705275303,0.0,5,-76.06436768797276,0.0
req1_equal_fresh_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0
regular",1,8192,0,3.6111227999999995,0.008677170431655695,5,3.6187708,3.6111227999999995,14.817921447753909,0.0,5,-75.63003142692884,0.0
req1_equal_prefix_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0
regular",1,8192,0,3.6123066,0.008341728376061891,5,3.622681,3.6123066,14.817921447753909,0.0,5,-75.62204245219864,0.0
req1_equal_prefix_regular_b1_f8192_p1024|prefill|b1|f8192|p1024,"b1
f8192
p1024
regular",1,8192,1024,4.4373172,0.008897025132031625,5,4.4374068,4.4373172,19.460774528616053,0.0,5,-77.19866085763876,0.0
req1_equal_prefix_regular_b1_f8192_p4096|prefill|b1|f8192|p4096,"b1
f8192
p4096
regular",1,8192,4096,6.9376245999999995,0.10260635308205843,5,6.9376885999999995,6.9376245999999995,30.428792317708325,0.0,5,-77.2004602497399,0.0
req1_equal_prefix_regular_b1_f8192_p8192|prefill|b1|f8192|p8192,"b1
f8192
p8192
regular",1,8192,8192,10.342188400000001,0.3112393018632122,5,10.342252400000001,10.342188400000001,45.05365905761718,0.0,5,-77.04473151276389,0.0
req1_equal_prefix_regular_b1_f8192_p10500|prefill|b1|f8192|p10500,"b1
f8192
p10500
regular",1,8192,10500,12.2965458,0.23016699045410563,5,12.2966226,12.2965458,53.89451413685574,0.0,5,-77.18404925448431,0.0
req1_equal_prefix_regular_b1_f8192_p32000|prefill|b1|f8192|p32000,"b1
f8192
p32000
regular",1,8192,32000,30.7145006,0.8888009259138399,5,30.714577400000003,30.7145006,143.58631422677453,0.0,5,-78.60903334318427,0.0
req1_equal_fresh_regular_b2_f4096_p0|prefill|b2|f4096|p0,"b2
f4096
p0
regular",2,4096,0,1.9537787999999998,0.00492151101796998,5,1.9536380000000002,1.9537787999999998,7.974419403076172,0.0,5,-75.49942257556306,0.0
req1_equal_prefix_regular_b2_f4096_p4096|prefill|b2|f4096|p4096,"b2
f4096
p4096
regular",2,4096,4096,5.2903212,0.010586236498397095,5,5.2904044,5.290321199999999,23.14481964111328,0.0,5,-77.14252570539567,1.6788742802613297e-14
req1_equal_fresh_regular_b4_f512_p0|prefill|b4|f512|p0,"b4
f512
p0
regular",4,512,0,0.141888,0.00149426637518215,5,0.1563008,0.141888,0.4423696041107178,0.0,5,-67.92546353060736,0.0
req1_equal_prefix_regular_b4_f512_p512|prefill|b4|f512|p512,"b4
f512
p512
regular",4,512,512,0.2535806,0.002117778505887698,5,0.2619838,0.2535806,0.9460091829299927,0.0,5,-73.19469994840784,0.0
req1_equal_fresh_irregular_b4_f1200_p0|prefill|b4|f1200|p0,"b4
f1200
p0
irregular",4,1200,0,0.5046976,0.0019669460592502343,5,0.5045568,0.5046976,1.8000094256559067,0.0,5,-71.96139126793223,0.0
req1_equal_fresh_regular_b4_f2048_p0|prefill|b4|f2048|p0,"b4
f2048
p0
regular",4,2048,0,1.1225472,0.0035273087758232345,5,1.1224064,1.1225472,4.306507110595703,0.0,5,-73.93369681805257,0.0
req1_equal_prefix_regular_b4_f2048_p1024|prefill|b4|f2048|p1024,"b4
f2048
p1024
regular",4,2048,1024,1.9689592,0.0023324562589681005,5,1.9690168,1.9689592,8.336793348524305,0.0,5,-76.3822957138727,0.0
req1_equal_fresh_regular_b8_f1_p0|prefill|b8|f1|p0,"b8
f1
p0
regular",8,1,0,0.03962239999999992,0.0007174711144011175,5,0.0493184,0.0396224,0.015420800447463901,0.0,5,156.94126666762102,-2.1015063915080038e-13
req1_equal_fresh_irregular_b12_f300_p0|prefill|b12|f300|p0,"b12
f300
p0
irregular",12,300,0,0.25686400000000004,0.001087293888514074,5,0.26095999999999997,0.25686400000000004,0.6637067395442842,0.0,5,-61.29856988097355,0.0
