case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_regular_b1_f1_p0|decode|b1|f1|p0,"b1
f1
p0",1,1,0,0.8619626,0.16201612880629443,10,0.10289999999999991,0.0,10,737.6701652089415
req1_equal_fresh_irregular_b1_f4500_p0|decode|b1|f4500|p0,"b1
f4500
p0",1,4500,0,1.5401534,0.28530961431802476,5,0.1206262939453125,0.0,5,1176.7974125925218
req1_equal_fresh_irregular_b1_f6000_p0|decode|b1|f6000|p0,"b1
f6000
p0",1,6000,0,1.4471181999999998,0.2198867494307012,5,0.1218347900390625,0.0,5,1087.7709146427114
req1_equal_fresh_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,1.4274346,0.2069345980649443,5,0.12360069580078119,0.0,5,1054.875861136518
req1_equal_prefix_regular_b1_f8192_p0|decode|b1|f8192|p0,"b1
f8192
p0",1,8192,0,1.4795774,0.22037928143384977,5,0.12360069580078119,0.0,5,1097.062355041086
req1_equal_prefix_regular_b1_f8192_p1024|decode|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,1.235371,0.13291932605531828,5,0.12431319580078122,0.0,5,893.7569314682814
req1_equal_prefix_regular_b1_f8192_p4096|decode|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,1.1341892,0.09006319330725522,5,0.1264506958007812,0.0,5,796.9418418913857
req1_equal_prefix_regular_b1_f8192_p8192|decode|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,0.9488196,0.0468809818401876,5,0.1293006958007812,0.0,5,633.8085801656354
req1_equal_prefix_regular_b1_f8192_p10500|decode|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,0.9503959999999999,0.03612406267988141,5,0.1309066040039062,0.0,5,626.0107366100801
req1_equal_prefix_regular_b1_f8192_p32000|decode|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,1.0478714,0.06037664077936106,5,0.1458663208007812,0.0,5,618.3778916526891
req1_equal_fresh_regular_b2_f4096_p0|decode|b2|f4096|p0,"b2
f4096
p0",2,4096,0,0.9071794000000001,0.0413535931365099,5,0.1232010986328125,0.0,5,636.3403492884019
req1_equal_prefix_regular_b2_f4096_p4096|decode|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,1.0877796,0.05257736853723286,5,0.1277011108398437,0.0,5,751.8168658409231
req1_equal_fresh_regular_b4_f512_p0|decode|b4|f512|p0,"b4
f512
p0",4,512,0,0.9099944000000001,0.044724983759639264,5,0.114306640625,0.0,5,696.0993298590347
req1_equal_prefix_regular_b4_f512_p512|decode|b4|f512|p512,"b4
f512
p512",4,512,512,1.0333818000000001,0.07065754166895424,5,0.11770380859375,0.0,5,777.9510300866102
req1_equal_fresh_irregular_b4_f1200_p0|decode|b4|f1200|p0,"b4
f1200
p0",4,1200,0,0.549868,0.027799835593039005,5,0.11837412109375,0.0,5,364.5170708929828
req1_equal_fresh_regular_b4_f2048_p0|decode|b4|f2048|p0,"b4
f2048
p0",4,2048,0,0.7272774,0.059848542783429534,5,0.121602392578125,0.0,5,498.0781994340707
req1_equal_prefix_regular_b4_f2048_p1024|decode|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,1.0204651999999999,0.05475041991345818,5,0.12405239257812499,0.0,5,722.608237368205
req1_equal_fresh_regular_b8_f1_p0|decode|b8|f1|p0,"b8
f1
p0",8,1,0,0.51681,0.019516855189809654,5,0.1061333333333333,0.0,5,386.94409547738707
req1_equal_fresh_irregular_b12_f300_p0|decode|b12|f300|p0,"b12
f300
p0",12,300,0,0.9209821999999999,0.04280302213862943,5,0.12175488281249999,0.0,5,656.4232158297038
