case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_irregular_b1_f4500_p0|prefill|b1|f4500|p0,"b1
f4500
p0",1,4500,0,58.521769000000006,123.50648300874997,5,2.799026265957524,0.0,5,1990.7902763099007
req1_equal_fresh_irregular_b1_f6000_p0|prefill|b1|f6000|p0,"b1
f6000
p0",1,6000,0,61.254570799999996,127.94490240580926,5,4.017983357001034,0.0,5,1424.510316680842
req1_equal_fresh_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,56.87592500000001,113.04364583395419,5,6.3943,0.0,5,789.4785199318144
req1_equal_prefix_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,51.128909199999995,100.18334296909126,5,6.3943,0.0,5,699.6013512034154
req1_equal_prefix_regular_b1_f8192_p1024|prefill|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,7.4705964,0.5708902144377672,5,7.862828089076226,0.0,5,-4.988430175920429
req1_equal_prefix_regular_b1_f8192_p4096|prefill|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,10.099416,0.44375518074215164,5,11.005445004383091,0.0,5,-8.232552195956194
req1_equal_prefix_regular_b1_f8192_p8192|prefill|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,13.776850200000002,0.4024520444117531,5,15.246075,0.0,5,-9.63674125963566
req1_equal_prefix_regular_b1_f8192_p10500|prefill|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,15.8630584,0.35381858703055724,5,17.72003337630506,0.0,5,-10.479523017085157
req1_equal_prefix_regular_b1_f8192_p32000|prefill|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,35.9125292,0.6418532879846434,5,42.00454545921361,0.0,5,-14.503231001818486
req1_equal_fresh_regular_b2_f4096_p0|prefill|b2|f4096|p0,"b2
f4096
p0",2,4096,0,4.7143412,0.1482083287814822,5,4.5199,0.0,5,4.301891634770681
req1_equal_prefix_regular_b2_f4096_p4096|prefill|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,8.6976862,0.34875268955335653,5,9.8025,0.0,5,-11.270735016577408
req1_equal_fresh_regular_b4_f512_p0|prefill|b4|f512|p0,"b4
f512
p0",4,512,0,1.453843,0.4838394101486568,5,1.0149,0.0,5,43.249876835156186
req1_equal_prefix_regular_b4_f512_p512|prefill|b4|f512|p512,"b4
f512
p512",4,512,512,1.9388792,0.61604924943441,5,1.3116,0.0,5,47.82549557792008
req1_equal_fresh_irregular_b4_f1200_p0|prefill|b4|f1200|p0,"b4
f1200
p0",4,1200,0,2.2058112000000003,0.12185820712286893,5,2.188778516561059,0.0,5,0.7781821372087754
req1_equal_fresh_regular_b4_f2048_p0|prefill|b4|f2048|p0,"b4
f2048
p0",4,2048,0,3.8412854000000003,0.11272958800953715,5,3.661,0.0,5,4.924485113357013
req1_equal_prefix_regular_b4_f2048_p1024|prefill|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,5.0559788,0.34776335391067303,5,6.082912188819449,0.0,5,-16.882265548843193
req1_equal_fresh_regular_b8_f1_p0|prefill|b8|f1|p0,"b8
f1
p0",8,1,0,0.9586048,0.07915570672541566,5,0.757,0.0,5,26.632073976221932
req1_equal_fresh_irregular_b12_f300_p0|prefill|b12|f300|p0,"b12
f300
p0",12,300,0,1.7333696,0.4220417264830575,5,1.5368752251552371,0.0,5,12.785317352286382
