case_key,display_label,batch_size,fresh_len,prefix_len,real_mean_ms,real_std_ms,real_count,aic_mean_ms,aic_std_ms,aic_count,pct_increase_vs_aic_mean
req1_equal_fresh_irregular_b1_f4500_p0|prefill|b1|f4500|p0,"b1
f4500
p0",1,4500,0,2.4165652,0.357387626909075,5,2.799026265957524,0.0,5,-13.664075632626735
req1_equal_fresh_irregular_b1_f6000_p0|prefill|b1|f6000|p0,"b1
f6000
p0",1,6000,0,2.2509458,0.4888834945651161,5,4.017983357001034,0.0,5,-43.97821991776307
req1_equal_fresh_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,1.8971360000000002,0.07578083785166273,5,6.3943,0.0,5,-70.3308258918099
req1_equal_prefix_regular_b1_f8192_p0|prefill|b1|f8192|p0,"b1
f8192
p0",1,8192,0,2.658256,0.33880210556532864,5,6.3943,0.0,5,-58.42772469230408
req1_equal_prefix_regular_b1_f8192_p1024|prefill|b1|f8192|p1024,"b1
f8192
p1024",1,8192,1024,1.4475592000000002,0.07536088886949252,5,7.862828089076226,0.0,5,-81.58984040346647
req1_equal_prefix_regular_b1_f8192_p4096|prefill|b1|f8192|p4096,"b1
f8192
p4096",1,8192,4096,1.2671224,0.062164662601030825,5,11.005445004383091,0.0,5,-88.48640468881224
req1_equal_prefix_regular_b1_f8192_p8192|prefill|b1|f8192|p8192,"b1
f8192
p8192",1,8192,8192,1.0438666,0.06372879315348748,5,15.246075,0.0,5,-93.15321090838134
req1_equal_prefix_regular_b1_f8192_p10500|prefill|b1|f8192|p10500,"b1
f8192
p10500",1,8192,10500,1.0042346,0.058502545348899086,5,17.72003337630506,0.0,5,-94.33277252545784
req1_equal_prefix_regular_b1_f8192_p32000|prefill|b1|f8192|p32000,"b1
f8192
p32000",1,8192,32000,1.0936666,0.08885802348296967,5,42.00454545921361,0.0,5,-97.39631368928407
req1_equal_fresh_regular_b2_f4096_p0|prefill|b2|f4096|p0,"b2
f4096
p0",2,4096,0,0.9924988000000001,0.05941500769334295,5,4.5199,0.0,5,-78.04157614106508
req1_equal_prefix_regular_b2_f4096_p4096|prefill|b2|f4096|p4096,"b2
f4096
p4096",2,4096,4096,1.1358742,0.06381582732520198,5,9.8025,0.0,5,-88.41240295842897
req1_equal_fresh_regular_b4_f512_p0|prefill|b4|f512|p0,"b4
f512
p0",4,512,0,1.0089634,0.07225717051130627,5,1.0149,0.0,5,-0.5849443294905753
req1_equal_prefix_regular_b4_f512_p512|prefill|b4|f512|p512,"b4
f512
p512",4,512,512,1.141594,0.05858529842460476,5,1.3116,0.0,5,-12.961726136017084
req1_equal_fresh_irregular_b4_f1200_p0|prefill|b4|f1200|p0,"b4
f1200
p0",4,1200,0,0.6086112,0.050833619866186966,5,2.188778516561059,0.0,5,-72.19402532531107
req1_equal_fresh_regular_b4_f2048_p0|prefill|b4|f2048|p0,"b4
f2048
p0",4,2048,0,0.7533103999999999,0.08375361581925876,5,3.661,0.0,5,-79.42337066375308
req1_equal_prefix_regular_b4_f2048_p1024|prefill|b4|f2048|p1024,"b4
f2048
p1024",4,2048,1024,1.0787006,0.07283735664684701,5,6.082912188819449,0.0,5,-82.2667076802016
req1_equal_fresh_regular_b8_f1_p0|prefill|b8|f1|p0,"b8
f1
p0",8,1,0,0.5676928,0.03488272939005781,5,0.757,0.0,5,-25.00755614266843
req1_equal_fresh_irregular_b12_f300_p0|prefill|b12|f300|p0,"b12
f300
p0",12,300,0,1.0208964,0.07092011775441429,5,1.5368752251552371,0.0,5,-33.57324112652795
