case,stage,batch_size,input_len,num_heads,tp_size,kv_cache_dtype,process_repeats,latency_process_mean_ms,latency_process_median_ms,latency_process_min_ms,latency_process_max_ms,database_latency_ms
decode_b1_step2047,decode,1,2047,128,1,bf16,3,0.024589439971993365,0.02459263989701867,0.024480000026524066,0.024695679992437363,0.021907199919223786
decode_b1_step2047,decode,1,2047,128,1,fp8,3,0.032859306596219544,0.03283071983605623,0.03282015986740589,0.03292704008519649,0.03027999997138977
decode_b1_step255,decode,1,255,128,1,bf16,3,0.023775893356651066,0.023674560002982615,0.023381440062075855,0.024271680004894734,0.018211199343204497
decode_b1_step255,decode,1,255,128,1,fp8,3,0.026509759966284036,0.026478720009326936,0.02638687990605831,0.026663679983466863,0.024166400730609893
decode_b64_step32767,decode,64,32767,128,1,bf16,3,0.9397397313515344,0.9363635188341141,0.9349721574783325,0.947883517742157,0.902683162689209
decode_b64_step32767,decode,64,32767,128,1,fp8,3,4.461563851038615,4.461786575317383,4.459074234962463,4.463830742835999,4.452476882934571
prefill_b1_s2048,prefill,1,2048,128,1,bf16,3,0.299888853430748,0.2993203207850456,0.29894368052482606,0.3014025589823723,0.29507999420166015
prefill_b1_s2048,prefill,1,2048,128,1,fp8,3,0.3611011198163032,0.3610697615146637,0.360262077152729,0.361971520781517,0.3550944089889526
prefill_b1_s256,prefill,1,256,128,1,bf16,3,0.025886826676627003,0.026013120021671058,0.02555807998403907,0.026089280024170877,0.02301120012998581
prefill_b1_s256,prefill,1,256,128,1,fp8,3,0.04007232007881006,0.04004096020013094,0.040029759965837,0.040146240070462226,0.03753759860992432
