case,kv_cache_dtype,category,launches_per_iteration,duration_mean_us,duration_median_us,duration_min_us,duration_max_us
decode_b1_step2047,bf16,current_kv_cache_write,1.0,1.0784,1.088,1.056,1.088
decode_b1_step2047,bf16,fa3_prepare,1.0,2.8991999999999996,2.912,2.88,2.912
decode_b1_step2047,bf16,fa3_attention_main,1.0,14.1056,14.096,13.792,14.336
decode_b1_step2047,bf16,fa3_attention_combine,1.0,3.4944,3.488,3.456,3.52
decode_b1_step2047,fp8,current_kv_bf16_to_fp8,2.0,2.992,2.976,2.976,3.04
decode_b1_step2047,fp8,current_kv_cache_write,1.0,1.088,1.088,1.056,1.12
decode_b1_step2047,fp8,full_kv_cache_fp8_to_bf16,1.0,5.712,5.712,5.472,5.888
decode_b1_step2047,fp8,fa3_prepare,1.0,2.8896,2.88,2.88,2.912
decode_b1_step2047,fp8,fa3_attention_main,1.0,13.8974,13.872,13.664,14.239
decode_b1_step2047,fp8,fa3_attention_combine,1.0,3.4240000000000004,3.44,3.296,3.52
decode_b1_step255,bf16,current_kv_cache_write,1.0,1.0848,1.088,1.056,1.088
decode_b1_step255,bf16,fa3_prepare,1.0,2.64,2.64,2.624,2.656
decode_b1_step255,bf16,fa3_attention_main,1.0,13.584,13.568,13.44,13.792
decode_b1_step255,fp8,current_kv_bf16_to_fp8,2.0,3.0016,3.008,2.944,3.008
decode_b1_step255,fp8,current_kv_cache_write,1.0,1.0912000000000002,1.088,1.056,1.12
decode_b1_step255,fp8,full_kv_cache_fp8_to_bf16,1.0,2.912,2.88,2.88,3.104
decode_b1_step255,fp8,fa3_prepare,1.0,2.6272,2.624,2.624,2.656
decode_b1_step255,fp8,fa3_attention_main,1.0,13.5392,13.536,13.472,13.6
decode_b64_step32767,bf16,current_kv_cache_write,1.0,1.5936,1.6,1.504,1.696
decode_b64_step32767,bf16,fa3_prepare,1.0,4.291200000000001,4.272,4.256,4.384
decode_b64_step32767,bf16,fa3_attention_main,1.0,894.9078,894.511,893.439,899.711
decode_b64_step32767,bf16,fa3_attention_combine,1.0,5.152,5.136,5.056,5.28
decode_b64_step32767,fp8,current_kv_bf16_to_fp8,2.0,3.4240000000000004,3.472,3.232,3.584
decode_b64_step32767,fp8,current_kv_cache_write,1.0,1.4784,1.408,1.376,1.728
decode_b64_step32767,fp8,full_kv_cache_fp8_to_bf16,2.0,3706.8410000000003,3706.876,3706.108,3707.7079999999996
decode_b64_step32767,fp8,fa3_prepare,1.0,4.384,4.352,4.32,4.544
decode_b64_step32767,fp8,fa3_attention_main,1.0,862.7031,862.4955,861.151,864.703
decode_b64_step32767,fp8,fa3_attention_combine,1.0,5.1007,5.072,4.992,5.248
prefill_b1_s2048,bf16,fa3_prepare,1.0,2.7008,2.688,2.656,2.752
prefill_b1_s2048,bf16,fa3_attention_main,1.0,292.7229,292.31949999999995,291.487,296.416
prefill_b1_s2048,fp8,activation_bf16_to_fp8,2.0,90.1887,90.27199999999999,89.664,90.591
prefill_b1_s2048,fp8,fa3_prepare,1.0,2.896,2.896,2.88,2.912
prefill_b1_s2048,fp8,fa3_attention_main,1.0,266.5661,265.9835,265.024,271.968
prefill_b1_s256,bf16,fa3_prepare,1.0,2.6496000000000004,2.656,2.624,2.656
prefill_b1_s256,bf16,fa3_attention_main,1.0,19.8528,19.808,19.68,20.288
prefill_b1_s256,fp8,activation_bf16_to_fp8,2.0,14.2784,14.176,14.016,14.848
prefill_b1_s256,fp8,fa3_prepare,1.0,2.8671999999999995,2.816,2.784,3.008
prefill_b1_s256,fp8,fa3_attention_main,1.0,19.449599999999997,19.392,19.232,19.744
