case,stage,kv_cache_dtype,iteration,nvtx_text,launch_index,duration_us,category,short_name,full_name,correlation_id,grid_x,grid_y,grid_z,block_x,block_y,block_z
decode_b1_step2047,decode,bf16,0,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_000,0,1.088,current_kv_cache_write,set_mla_kv_buffer_kernel,set_mla_kv_buffer_kernel,20,1,5,1,128,1,1
decode_b1_step2047,decode,bf16,0,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_000,1,2.912,fa3_prepare,flash::prepare_varlen_num_blocks_kernel,"void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)",68,1,1,1,32,1,1
decode_b1_step2047,decode,bf16,0,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_000,2,14.176,fa3_attention_main,flash::FlashAttnFwdSm90,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)64>, cute::C<(int)64>, cute::C<(int)64>>, (int)512, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)64>, cute::C<(int)512>, cute::C<(int)64>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)256, (bool)1, (bool)1, (bool)1, (bool)0>, flash::VarlenDynamicPersistentTileScheduler<(int)64, (int)64, (int)256, (int)128, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1>>>>(T1::Params)",84,132,1,1,384,1,1
decode_b1_step2047,decode,bf16,0,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_000,3,3.52,fa3_attention_combine,flash::FlashAttnFwdCombine,"void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<(int)8>, cute::C<(int)128>>, (int)5, (int)256, (int)1, (bool)0, (bool)1, cutlass::bfloat16_t, float, cutlass::arch::Sm90>>(T1::Params)",87,16,4,1,256,1,1
decode_b1_step2047,decode,bf16,1,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_001,0,1.088,current_kv_cache_write,set_mla_kv_buffer_kernel,set_mla_kv_buffer_kernel,122,1,5,1,128,1,1
decode_b1_step2047,decode,bf16,1,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_001,1,2.88,fa3_prepare,flash::prepare_varlen_num_blocks_kernel,"void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)",170,1,1,1,32,1,1
decode_b1_step2047,decode,bf16,1,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_001,2,14.272,fa3_attention_main,flash::FlashAttnFwdSm90,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)64>, cute::C<(int)64>, cute::C<(int)64>>, (int)512, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)64>, cute::C<(int)512>, cute::C<(int)64>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)256, (bool)1, (bool)1, (bool)1, (bool)0>, flash::VarlenDynamicPersistentTileScheduler<(int)64, (int)64, (int)256, (int)128, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1>>>>(T1::Params)",186,132,1,1,384,1,1
decode_b1_step2047,decode,bf16,1,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_001,3,3.488,fa3_attention_combine,flash::FlashAttnFwdCombine,"void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<(int)8>, cute::C<(int)128>>, (int)5, (int)256, (int)1, (bool)0, (bool)1, cutlass::bfloat16_t, float, cutlass::arch::Sm90>>(T1::Params)",189,16,4,1,256,1,1
decode_b1_step2047,decode,bf16,2,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_002,0,1.088,current_kv_cache_write,set_mla_kv_buffer_kernel,set_mla_kv_buffer_kernel,224,1,5,1,128,1,1
decode_b1_step2047,decode,bf16,2,aic_collect_mla::decode::bf16::b1_s2047_h128_tp1::eager::iter_002,1,2.912,fa3_prepare,flash::prepare_varlen_num_blocks_kernel,"void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)",272,1,1,1,32,1,1
