case,stage,kv_cache_dtype,batch_size,input_len,num_heads,tp_size,iteration_count,kernel_total_mean_us,kernel_total_median_us,nsys_eager_event_mean_us
decode_b1_step2047,decode,bf16,1,2047,128,1,10,21.5776,21.6,370.70720195770264
decode_b1_step2047,decode,fp8,1,2047,128,1,10,30.003000000000004,30.016,525.0815987586975
decode_b1_step255,decode,bf16,1,255,128,1,10,17.3088,17.296,219.34080123901367
decode_b1_step255,decode,fp8,1,255,128,1,10,23.1712,23.152,396.17280066013336
decode_b64_step32767,decode,bf16,64,32767,128,1,10,905.9446,905.567,957.0623993873596
decode_b64_step32767,decode,fp8,64,32767,128,1,10,4583.9312,4583.514999999999,4652.825593948364
prefill_b1_s2048,prefill,bf16,1,2048,128,1,10,295.4237,295.00749999999994,329.58399653434753
prefill_b1_s2048,prefill,fp8,1,2048,128,1,10,359.6508,359.0875,400.4799962043762
prefill_b1_s256,prefill,bf16,1,256,128,1,10,22.5024,22.464,187.44639679789543
prefill_b1_s256,prefill,fp8,1,256,128,1,10,36.5952,36.464,139.6160013973713
