hardware,hardware_label,category,phase,attn_dtype,kv_cache_dtype,sglang_version,trtllm_version,sglang_rows,sglang_unique_shapes,sglang_duplicate_rows,trtllm_rows,trtllm_unique_shapes,trtllm_duplicate_rows,matched_shapes,sglang_only_shapes,trtllm_only_shapes,ratio_p10,ratio_p50,ratio_p90,trtllm_faster_pct
a100_sxm,A100 SXM,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.0.0,5627,5627,0,4864,4864,0,4864,763,0,1.034469,1.412663,1.972577,8.285362
l40s,L40S,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.0.0,5627,5627,0,9764,9764,0,4864,763,4900,0.859684,1.316773,1.648044,14.247533
h100_sxm,H100 SXM,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.3.0rc10,5627,5627,0,16848,16848,0,5594,33,11254,1.135464,1.358705,1.906917,0.232392
h200_sxm,H200 SXM,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.3.0rc10,5627,5627,0,16848,16848,0,5594,33,11254,1.167131,1.395946,1.935385,0.071505
b200_sxm,B200 SXM,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.3.0rc10,11238,11238,0,21064,21064,0,10524,714,10540,1.139201,1.448031,1.811007,1.102242
b300_sxm,B300 SXM,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.3.0rc10,5627,5627,0,21064,21064,0,5270,357,15794,1.079429,1.395519,1.714859,3.358634
gb200,GB200,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.3.0rc10,5627,5627,0,21064,21064,0,5270,357,15794,1.143487,1.422651,1.761029,1.309298
gb300,GB300,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.3.0rc10,5627,5627,0,21064,21064,0,5270,357,15794,1.088989,1.370472,1.674166,2.333966
rtx_pro_6000_server,RTX PRO 6000,context_bfloat16_kv_bfloat16,context,bfloat16,bfloat16,0.5.10,1.3.0rc10,11174,11174,0,21064,21064,0,10470,704,10594,0.667827,0.898291,1.456460,60.210124
a100_sxm,A100 SXM,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.0.0,0,0,0,0,0,0,0,0,0,,,,
l40s,L40S,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.0.0,0,0,0,9765,9765,0,0,0,9765,,,,
h100_sxm,H100 SXM,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.3.0rc10,5627,5627,0,16847,16847,0,5593,34,11254,1.039840,1.506097,2.264007,6.025389
h200_sxm,H200 SXM,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.3.0rc10,5627,5627,0,16845,16845,0,5591,36,11254,1.069370,1.520453,2.314768,4.113754
b200_sxm,B200 SXM,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.3.0rc10,11238,11238,0,21064,21064,0,10524,714,10540,1.240114,1.529051,1.940913,0.883694
b300_sxm,B300 SXM,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.3.0rc10,5627,5627,0,21064,21064,0,5270,357,15794,1.249698,1.569082,1.879524,1.157495
gb200,GB200,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.3.0rc10,5627,5627,0,21064,21064,0,5270,357,15794,1.197941,1.460202,1.775879,1.574953
gb300,GB300,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.3.0rc10,5627,5627,0,21064,21064,0,5270,357,15794,1.248683,1.505801,1.858291,1.271347
rtx_pro_6000_server,RTX PRO 6000,context_bfloat16_kv_fp8,context,bfloat16,fp8,0.5.10,1.3.0rc10,11174,11174,0,21064,21064,0,10470,704,10594,0.421493,0.681164,1.091053,83.381089
a100_sxm,A100 SXM,context_fp8_kv_fp8,context,fp8,fp8,0.5.10,1.0.0,0,0,0,0,0,0,0,0,0,,,,
l40s,L40S,context_fp8_kv_fp8,context,fp8,fp8,0.5.10,1.0.0,0,0,0,9794,9794,0,0,0,9794,,,,
h100_sxm,H100 SXM,context_fp8_kv_fp8,context,fp8,fp8,0.5.10,1.3.0rc10,5627,5627,0,16881,16881,0,5627,0,11254,1.088274,1.407323,2.101711,2.008175
h200_sxm,H200 SXM,context_fp8_kv_fp8,context,fp8,fp8,0.5.10,1.3.0rc10,5627,5627,0,16881,16881,0,5627,0,11254,1.115428,1.433635,2.190868,0.586458
b200_sxm,B200 SXM,context_fp8_kv_fp8,context,fp8,fp8,0.5.10,1.3.0rc10,11238,11238,0,20995,20995,0,10455,783,10540,1.055158,1.342195,1.699716,5.413678
