hardware,hardware_label,engine,version,operator,phase,rows,dtype_combinations,kernel_sources,source_file
a100_sxm,A100 SXM,sglang,0.5.10,attention,prefill,5627,bfloat16/bfloat16:5627,flash_attention:5627,src/aiconfigurator/systems/data/a100_sxm/sglang/0.5.10/context_attention_perf.txt
a100_sxm,A100 SXM,sglang,0.5.10,attention,decode,5093,bfloat16/bfloat16:5093,flash_attention:5093,src/aiconfigurator/systems/data/a100_sxm/sglang/0.5.10/generation_attention_perf.txt
a100_sxm,A100 SXM,trtllm,1.0.0,attention,prefill,4864,bfloat16/bfloat16:4864,torch_flow:4864,src/aiconfigurator/systems/data/a100_sxm/trtllm/1.0.0/context_attention_perf.txt
a100_sxm,A100 SXM,trtllm,1.0.0,attention,decode,5026,bfloat16/bfloat16:5026,torch_flow:5026,src/aiconfigurator/systems/data/a100_sxm/trtllm/1.0.0/generation_attention_perf.txt
a100_sxm,A100 SXM,trtllm,1.0.0,mla,prefill,2436,bfloat16/bfloat16:1218; bfloat16/fp8:1218,default:2436,src/aiconfigurator/systems/data/a100_sxm/trtllm/1.0.0/context_mla_perf.txt
a100_sxm,A100 SXM,trtllm,1.0.0,mla,decode,5068,bfloat16/bfloat16:2534; bfloat16/fp8:2534,default:5068,src/aiconfigurator/systems/data/a100_sxm/trtllm/1.0.0/generation_mla_perf.txt
a100_sxm,A100 SXM,vllm,0.14.0,attention,prefill,5457,bfloat16/bfloat16:5457,vllm_flash_attn:5457,src/aiconfigurator/systems/data/a100_sxm/vllm/0.14.0/context_attention_perf.txt
a100_sxm,A100 SXM,vllm,0.14.0,attention,decode,5431,bfloat16/bfloat16:5431,vllm_flash_attn:5431,src/aiconfigurator/systems/data/a100_sxm/vllm/0.14.0/generation_attention_perf.txt
a100_sxm,A100 SXM,vllm,0.14.0,mla,prefill,880,bfloat16/bfloat16:880,vllm_triton_mla:880,src/aiconfigurator/systems/data/a100_sxm/vllm/0.14.0/context_mla_perf.txt
a100_sxm,A100 SXM,vllm,0.14.0,mla,decode,1365,bfloat16/bfloat16:1365,vllm_triton_mla:1365,src/aiconfigurator/systems/data/a100_sxm/vllm/0.14.0/generation_mla_perf.txt
l40s,L40S,sglang,0.5.10,attention,prefill,5627,bfloat16/bfloat16:5627,flash_attention:5627,src/aiconfigurator/systems/data/l40s/sglang/0.5.10/context_attention_perf.txt
l40s,L40S,sglang,0.5.10,attention,decode,5093,bfloat16/bfloat16:5093,flash_attention:5093,src/aiconfigurator/systems/data/l40s/sglang/0.5.10/generation_attention_perf.txt
l40s,L40S,trtllm,1.0.0,attention,prefill,29323,bfloat16/bfloat16:9764; bfloat16/fp8:9765; fp8/fp8:9794,torch_flow:29323,src/aiconfigurator/systems/data/l40s/trtllm/1.0.0/context_attention_perf.txt
l40s,L40S,trtllm,1.0.0,attention,decode,20104,bfloat16/bfloat16:10052; bfloat16/fp8:10052,torch_flow:20104,src/aiconfigurator/systems/data/l40s/trtllm/1.0.0/generation_attention_perf.txt
l40s,L40S,trtllm,1.0.0,mla,prefill,2436,bfloat16/bfloat16:1218; bfloat16/fp8:1218,default:2436,src/aiconfigurator/systems/data/l40s/trtllm/1.0.0/context_mla_perf.txt
l40s,L40S,trtllm,1.0.0,mla,decode,5068,bfloat16/bfloat16:2534; bfloat16/fp8:2534,default:5068,src/aiconfigurator/systems/data/l40s/trtllm/1.0.0/generation_mla_perf.txt
l40s,L40S,vllm,0.14.0,attention,prefill,10914,bfloat16/bfloat16:5457; bfloat16/fp8:5457,vllm_flashinfer:5457; vllm_flash_attn:5457,src/aiconfigurator/systems/data/l40s/vllm/0.14.0/context_attention_perf.txt
l40s,L40S,vllm,0.14.0,attention,decode,10867,bfloat16/bfloat16:5432; bfloat16/fp8:5435,vllm_flashinfer:5435; vllm_flash_attn:5432,src/aiconfigurator/systems/data/l40s/vllm/0.14.0/generation_attention_perf.txt
l40s,L40S,vllm,0.14.0,mla,prefill,880,bfloat16/bfloat16:880,vllm_triton_mla:880,src/aiconfigurator/systems/data/l40s/vllm/0.14.0/context_mla_perf.txt
