hardware,hardware_label,engine,version,operator,phase,compute_tag,kv_cache_dtype,kernel_source,rows
a100_sxm,A100 SXM,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,flash_attention,5627
a100_sxm,A100 SXM,sglang,0.5.10,attention,decode,bfloat16,bfloat16,flash_attention,5093
a100_sxm,A100 SXM,trtllm,1.0.0,attention,prefill,bfloat16,bfloat16,torch_flow,4864
a100_sxm,A100 SXM,trtllm,1.0.0,attention,decode,bfloat16,bfloat16,torch_flow,5026
a100_sxm,A100 SXM,trtllm,1.0.0,mla,prefill,bfloat16,bfloat16,default,1218
a100_sxm,A100 SXM,trtllm,1.0.0,mla,prefill,bfloat16,fp8,default,1218
a100_sxm,A100 SXM,trtllm,1.0.0,mla,decode,bfloat16,bfloat16,default,2534
a100_sxm,A100 SXM,trtllm,1.0.0,mla,decode,bfloat16,fp8,default,2534
a100_sxm,A100 SXM,vllm,0.14.0,attention,prefill,bfloat16,bfloat16,vllm_flash_attn,5457
a100_sxm,A100 SXM,vllm,0.14.0,attention,decode,bfloat16,bfloat16,vllm_flash_attn,5431
a100_sxm,A100 SXM,vllm,0.14.0,mla,prefill,bfloat16,bfloat16,vllm_triton_mla,880
a100_sxm,A100 SXM,vllm,0.14.0,mla,decode,bfloat16,bfloat16,vllm_triton_mla,1365
l40s,L40S,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,flash_attention,5627
l40s,L40S,sglang,0.5.10,attention,decode,bfloat16,bfloat16,flash_attention,5093
l40s,L40S,trtllm,1.0.0,attention,prefill,bfloat16,bfloat16,torch_flow,9764
l40s,L40S,trtllm,1.0.0,attention,prefill,bfloat16,fp8,torch_flow,9765
l40s,L40S,trtllm,1.0.0,attention,prefill,fp8,fp8,torch_flow,9794
l40s,L40S,trtllm,1.0.0,attention,decode,bfloat16,bfloat16,torch_flow,10052
l40s,L40S,trtllm,1.0.0,attention,decode,bfloat16,fp8,torch_flow,10052
l40s,L40S,trtllm,1.0.0,mla,prefill,bfloat16,bfloat16,default,1218
l40s,L40S,trtllm,1.0.0,mla,prefill,bfloat16,fp8,default,1218
l40s,L40S,trtllm,1.0.0,mla,decode,bfloat16,bfloat16,default,2534
l40s,L40S,trtllm,1.0.0,mla,decode,bfloat16,fp8,default,2534
l40s,L40S,vllm,0.14.0,attention,prefill,bfloat16,bfloat16,vllm_flash_attn,5457
l40s,L40S,vllm,0.14.0,attention,prefill,bfloat16,fp8,vllm_flashinfer,5457
l40s,L40S,vllm,0.14.0,attention,decode,bfloat16,bfloat16,vllm_flash_attn,5432
l40s,L40S,vllm,0.14.0,attention,decode,bfloat16,fp8,vllm_flashinfer,5435
l40s,L40S,vllm,0.14.0,mla,prefill,bfloat16,bfloat16,vllm_triton_mla,880
l40s,L40S,vllm,0.14.0,mla,decode,bfloat16,bfloat16,vllm_triton_mla,1401
h100_sxm,H100 SXM,sglang,0.5.10,attention,prefill,bfloat16,bfloat16,flash_attention,5627
h100_sxm,H100 SXM,sglang,0.5.10,attention,prefill,bfloat16,fp8,flash_attention,5627
h100_sxm,H100 SXM,sglang,0.5.10,attention,prefill,fp8,fp8,flash_attention,5627
h100_sxm,H100 SXM,sglang,0.5.10,attention,decode,bfloat16,bfloat16,flash_attention,5093
h100_sxm,H100 SXM,sglang,0.5.10,attention,decode,bfloat16,fp8,flash_attention,5093
