hardware,hardware_label,gemm_dtype,sglang_version,trtllm_version,sglang_dtype_rows,sglang_duplicate_rows,trtllm_dtype_rows,trtllm_duplicate_rows,matched_shapes,sglang_only_shapes,trtllm_only_shapes,ratio_p10,ratio_p50,ratio_p90,trtllm_faster_pct
a100_sxm,A100 SXM,bfloat16,0.5.10,1.0.0,35742,0,9240,0,8800,26942,440,0.881749,0.954277,1.003720,87.022727
l40s,L40S,bfloat16,0.5.10,1.0.0,35735,0,9240,0,8800,26935,440,0.727203,0.953665,1.040509,78.488636
h100_sxm,H100 SXM,bfloat16,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.860634,0.991700,1.041014,57.439427
h200_sxm,H200 SXM,bfloat16,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.830996,0.962606,1.035253,70.902580
b200_sxm,B200 SXM,bfloat16,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.830391,0.966650,1.049838,68.429299
b300_sxm,B300 SXM,bfloat16,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.851474,0.992374,1.072973,55.332662
gb200,GB200,bfloat16,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.880001,0.998994,1.122166,50.567959
gb300,GB300,bfloat16,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.900345,0.996902,1.071441,52.529237
rtx_pro_6000_server,RTX PRO 6000,bfloat16,0.5.10,1.3.0rc10,35742,0,35700,0,35700,42,0,0.619091,0.965864,1.071430,65.179272
a100_sxm,A100 SXM,fp8,0.5.10,1.0.0,0,0,0,0,0,0,0,,,,
l40s,L40S,fp8,0.5.10,1.0.0,35632,0,9240,0,8800,26832,440,0.777564,1.109896,2.715845,35.579545
h100_sxm,H100 SXM,fp8,0.5.10,1.3.0rc10,35741,0,35742,0,35741,0,1,0.782618,1.209522,2.075191,27.150891
h200_sxm,H200 SXM,fp8,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.802126,1.228992,2.054397,26.128924
b200_sxm,B200 SXM,fp8,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.873695,1.392741,2.225870,18.479660
b300_sxm,B300 SXM,fp8,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.906842,1.419839,2.246125,15.536344
gb200,GB200,fp8,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.940918,1.462870,2.378299,13.446366
gb300,GB300,fp8,0.5.10,1.3.0rc10,35742,0,35742,0,35742,0,0,0.952269,1.468596,2.352554,12.777685
rtx_pro_6000_server,RTX PRO 6000,fp8,0.5.10,1.3.0rc10,35742,0,35676,0,35676,66,0,0.411440,0.995820,1.736632,50.661509
a100_sxm,A100 SXM,fp8_block,0.5.10,1.0.0,0,0,0,0,0,0,0,,,,
l40s,L40S,fp8_block,0.5.10,1.0.0,0,0,7560,0,0,0,7560,,,,
h100_sxm,H100 SXM,fp8_block,0.5.10,1.3.0rc10,29524,0,29526,0,29524,0,2,0.766287,0.990052,1.256595,52.479339
h200_sxm,H200 SXM,fp8_block,0.5.10,1.3.0rc10,29526,0,29526,0,29526,0,0,0.762820,0.993804,1.266767,51.425862
b200_sxm,B200 SXM,fp8_block,0.5.10,1.3.0rc10,29526,0,29289,0,29289,237,0,0.490020,0.855600,1.100484,68.558162
b300_sxm,B300 SXM,fp8_block,0.5.10,1.3.0rc10,29526,0,29242,0,29242,284,0,0.488656,0.855228,1.100161,69.437795
gb200,GB200,fp8_block,0.5.10,1.3.0rc10,29526,0,29378,8,29370,156,0,0.493915,0.854527,1.115840,68.981954
gb300,GB300,fp8_block,0.5.10,1.3.0rc10,29526,0,29382,0,29382,144,0,0.503403,0.868717,1.097458,67.381390
rtx_pro_6000_server,RTX PRO 6000,fp8_block,0.5.10,1.3.0rc10,0,0,29268,0,0,0,29268,,,,
a100_sxm,A100 SXM,nvfp4,0.5.10,1.0.0,0,0,0,0,0,0,0,,,,
l40s,L40S,nvfp4,0.5.10,1.0.0,0,0,0,0,0,0,0,,,,
h100_sxm,H100 SXM,nvfp4,0.5.10,1.3.0rc10,0,0,0,0,0,0,0,,,,
h200_sxm,H200 SXM,nvfp4,0.5.10,1.3.0rc10,0,0,0,0,0,0,0,,,,
b200_sxm,B200 SXM,nvfp4,0.5.10,1.3.0rc10,29526,0,29526,0,29526,0,0,0.981049,1.258349,1.724501,12.273928
b300_sxm,B300 SXM,nvfp4,0.5.10,1.3.0rc10,29526,0,29526,0,29526,0,0,1.024630,1.349213,1.688929,8.118269
gb200,GB200,nvfp4,0.5.10,1.3.0rc10,29526,0,29526,0,29526,0,0,0.976782,1.275531,1.743508,12.897108
gb300,GB300,nvfp4,0.5.10,1.3.0rc10,29526,0,29530,4,29526,0,0,1.036370,1.368077,1.717456,7.108989
rtx_pro_6000_server,RTX PRO 6000,nvfp4,0.5.10,1.3.0rc10,29526,0,29488,0,29488,38,0,0.778786,0.970214,1.041204,66.755969
