framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,1,4096,1536,8,128,16,4,balanced,0.01079078786300887
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,2,4096,1536,8,128,16,4,balanced,0.02158157572601774
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,4,4096,1536,8,128,16,4,balanced,0.04316315145203548
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,8,4096,1536,8,128,16,4,balanced,0.08632630290407096
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,16,4096,1536,8,128,16,4,balanced,0.17265260580814193
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,32,4096,1536,8,128,16,4,balanced,0.015672308557268096
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,48,4096,1536,8,128,16,4,balanced,0.01623429471062548
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,64,4096,1536,8,128,16,4,balanced,0.01654009945707534
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,80,4096,1536,8,128,16,4,balanced,0.016169125088635678
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,96,4096,1536,8,128,16,4,balanced,0.016156983236164726
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,128,4096,1536,8,128,16,4,balanced,0.016860403195352567
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,160,4096,1536,8,128,16,4,balanced,0.016995993726098637
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,moe,moe_torch_flow,fp8,192,4096,1536,8,128,16,4,balanced,0.017547507314169736
