framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,8192,16384,65536,6.470341152615017
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,8192,16384,65536,5.835692511664496
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,8192,16384,65536,7.505174424913194
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,8192,16384,65536,10.781826443142362
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,4096,16384,65536,3.1308337317572703
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,4096,16384,65536,2.8110951317681203
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,4096,16384,65536,3.5978143480088978
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,4096,16384,65536,5.308843400743273
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,2048,16384,65536,0.9240978029039172
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,2048,16384,65536,1.3662524753146703
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,2048,16384,65536,1.5635058085123699
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,2048,16384,65536,2.738576889038086
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,1024,16384,65536,0.5026328828599718
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,1024,16384,65536,0.6941546863979764
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,1024,16384,65536,0.7868000136481391
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,1024,16384,65536,1.28583738538954
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,768,16384,65536,0.3956577777862549
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,768,16384,65536,0.54239469104343
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,768,16384,65536,0.5762400097317165
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,768,16384,65536,0.9910329182942709
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,512,16384,65536,0.2744853231641981
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,512,16384,65536,0.3926604323916965
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,512,16384,65536,0.39864712291293675
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,512,16384,65536,0.640150229136149
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,384,16384,65536,0.21900622049967447
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,384,16384,65536,0.43698755900065106
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,384,16384,65536,0.38573066393534344
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,384,16384,65536,0.4998106426662869
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,256,16384,65536,0.16466132799784342
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,256,16384,65536,0.2774346669514974
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,256,16384,65536,0.2525662316216363
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,256,16384,65536,0.388791110780504
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,192,16384,65536,0.1633333365122477
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,192,16384,65536,0.2682017750210232
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,192,16384,65536,0.24742666880289713
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,192,16384,65536,0.37393866644965273
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,160,16384,65536,0.16385777791341147
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,160,16384,65536,0.26518045531378853
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,160,16384,65536,0.2459191216362847
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,160,16384,65536,0.3675253391265869
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,128,16384,65536,0.12148355113135444
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,128,16384,65536,0.23220356305440268
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,128,16384,65536,0.18430844942728677
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,128,16384,65536,0.32250134150187176
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,96,16384,65536,0.12111200226677789
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,96,16384,65536,0.22822133700052896
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,96,16384,65536,0.1836684412426419
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,96,16384,65536,0.33255643314785427
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,80,16384,65536,0.12283821900685628
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,80,16384,65536,0.22571288214789498
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,80,16384,65536,0.18331378036075166
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,80,16384,65536,0.3222160074445936
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,64,16384,65536,0.1197555594974094
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,64,16384,65536,0.22585156228807238
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,64,16384,65536,0.17975466781192354
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,64,16384,65536,0.3457635508643256
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,48,16384,65536,0.12336977322896321
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,48,16384,65536,0.22240000300937227
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,48,16384,65536,0.18169332875145805
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,48,16384,65536,0.34264087677001953
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,32,16384,65536,0.12880622016059026
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,32,16384,65536,0.22066311041514078
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,32,16384,65536,0.18201422691345215
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,32,16384,65536,0.3648071024152968
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,16,16384,65536,0.121979554494222
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,16,16384,65536,0.22075022591484916
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,16,16384,65536,0.18044977717929414
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,16,16384,65536,0.3277013301849365
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,8,16384,65536,0.12209244569142659
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,8,16384,65536,0.21760266356998018
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,8,16384,65536,0.18223999606238472
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,8,16384,65536,0.3280959924062093
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,4,16384,65536,0.11921600500742595
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,4,16384,65536,0.21792799896664092
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,4,16384,65536,0.17834133572048613
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,4,16384,65536,0.32745154698689777
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,2,16384,65536,0.1194346613354153
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,2,16384,65536,0.21721333927578398
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,2,16384,65536,0.18034666114383271
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,2,16384,65536,0.3251715501149495
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,1,16384,65536,0.11955555280049641
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,1,16384,65536,0.34286755985683864
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,1,16384,65536,0.1896737813949585
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,1,16384,65536,0.32400621308220756
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,8192,12288,65536,4.666650560167101
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,8192,12288,65536,4.447971343994141
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,8192,12288,65536,5.6765085856119795
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,8192,12288,65536,7.758740743001302
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,4096,12288,65536,1.969869401719835
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,4096,12288,65536,2.176696989271376
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,4096,12288,65536,2.4684950510660806
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,4096,12288,65536,4.158410814073351
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,2048,12288,65536,0.6820186509026421
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,2048,12288,65536,1.0911493301391602
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,2048,12288,65536,1.1295208401150174
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,2048,12288,65536,1.9915794796413844
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,1024,12288,65536,0.3842311170366075
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,1024,12288,65536,0.5401688681708442
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,1024,12288,65536,0.5990222295125326
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,1024,12288,65536,0.9760061899820963
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,768,12288,65536,0.279200898276435
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,768,12288,65536,0.4851004282633464
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,768,12288,65536,0.41039644347296816
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,768,12288,65536,0.668283568488227
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,512,12288,65536,0.2132880025439792
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,512,12288,65536,0.3342915640936957
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,512,12288,65536,0.3092613220214844
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,512,12288,65536,0.4803368780348036
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,384,12288,65536,0.15818933645884195
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,384,12288,65536,0.3092657725016276
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,384,12288,65536,0.282367123497857
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,384,12288,65536,0.38919112417433
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,256,12288,65536,0.1566284497578939
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,256,12288,65536,0.24390665690104166
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,256,12288,65536,0.19134844674004448
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,256,12288,65536,0.28686221440633136
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,192,12288,65536,0.15614488389756945
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,192,12288,65536,0.23769156138102213
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,192,12288,65536,0.1898124482896593
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,192,12288,65536,0.271616882748074
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,160,12288,65536,0.1555982165866428
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,160,12288,65536,0.23485244645012748
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,160,12288,65536,0.1874391105439928
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,160,12288,65536,0.2699057790968153
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,128,12288,65536,0.10453599691390991
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,128,12288,65536,0.17941866980658638
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,128,12288,65536,0.16020533773634169
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,128,12288,65536,0.24157510863410103
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,96,12288,65536,0.1032079988055759
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,96,12288,65536,0.17131111356947157
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,96,12288,65536,0.15893155998653835
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,96,12288,65536,0.26588622728983563
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,80,12288,65536,0.10341155529022217
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,80,12288,65536,0.1722400055991279
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,80,12288,65536,0.15841778119405112
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,80,12288,65536,0.25520621405707467
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,64,12288,65536,0.10432266526752049
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,64,12288,65536,0.1684568855497572
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,64,12288,65536,0.15520800484551325
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,64,12288,65536,0.2531929016113281
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,48,12288,65536,0.10250400172339545
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,48,12288,65536,0.1662177774641249
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,48,12288,65536,0.1564026673634847
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,48,12288,65536,0.25122043821546763
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,32,12288,65536,0.10303378105163574
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,32,12288,65536,0.16621955235799155
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,32,12288,65536,0.15573599603441027
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,32,12288,65536,0.24844622611999512
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,16,12288,65536,0.10368000136481391
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8_block,16,12288,65536,0.16359733210669622
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,fp8,16,12288,65536,0.15363289250267878
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,float16,16,12288,65536,0.24300800429450142
SGLang,0.5.9,NVIDIA GB300,gemm,sglang,nvfp4,8,12288,65536,0.10222755538092719
