framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,1,8,ulysses,0.43406081199645996
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,1,8,ulysses,0.29373440742492674
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,13310,512,40,128,1,8,ring,0.4309216022491455
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,13310,257,40,128,1,8,ring,0.2917056083679199
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,2,4,ulysses,0.43099198341369627
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,2,4,ulysses,0.29121599197387693
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,26620,512,20,128,2,4,ring,0.4304351806640625
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,13310,512,20,128,2,8,ring,0.22306559085845948
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,13310,257,20,128,2,8,ring,0.15321919918060303
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,26620,257,20,128,2,4,ring,0.29323201179504393
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,4,2,ulysses,0.4302207946777344
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,4,2,ulysses,0.29229440689086916
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,53240,512,10,128,4,2,ring,0.43038082122802734
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,53240,257,10,128,4,2,ring,0.2922688007354736
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,26620,512,10,128,4,4,ring,0.22239999771118163
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,26620,257,10,128,4,4,ring,0.1542080044746399
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,13310,512,10,128,4,8,ring,0.11837120056152343
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,13310,257,10,128,4,8,ring,0.0830784022808075
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,8,1,none,0.43215360641479494
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,8,1,none,0.2926367998123169
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,53240,512,5,128,8,2,ring,0.22111999988555908
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,53240,257,5,128,8,2,ring,0.15223360061645508
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,13310,13310,10,128,4,8,ring,2.457468795776367
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,26620,512,5,128,8,4,ring,0.11700799465179443
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,26620,257,5,128,8,4,ring,0.08321599960327149
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,13310,512,5,128,8,8,ring,0.060227197408676145
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,13310,257,5,128,8,8,ring,0.042208001017570496
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,71280,512,5,128,1,8,ulysses,0.3005151987075806
