framework,version,device,op_name,kernel_source,batch_size,seq_len,hidden_size,tp_size,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,1,1.4966976165771484
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,2,1.4973471641540528
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,4,1.4973376274108887
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,1,2.466396713256836
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,8,1.499075222015381
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,2,2.4669216156005858
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,4,2.466476821899414
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,8,2.466851234436035
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,1,3.3604225158691405
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,2,3.3614017486572267
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,4,3.3627166748046875
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,8,3.3604000091552733
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,1,3.6791614532470702
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,2,3.6760990142822267
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,4,3.678646469116211
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,8,3.6764511108398437
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,1,5.5479072570800785
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,2,5.542639923095703
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,4,5.547375869750977
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,8,5.546131134033203
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,106480,5120,1,8.291584014892578
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,106480,5120,2,8.284041595458984
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,106480,5120,4,8.290553283691406
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,106480,5120,8,8.284416198730469
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,19110,1280,4,0.03713279962539673
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,31590,5120,1,0.2407360076904297
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,31590,2560,2,0.11651840209960937
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,31590,1280,4,0.058633601665496825
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,31590,640,8,0.04203839898109436
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,43120,5120,1,0.32740800380706786
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,43120,2560,2,0.1574079990386963
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,43120,1280,4,0.0785152018070221
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,43120,640,8,0.05602560043334961
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,5120,1,0.35778241157531737
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,2560,2,0.17182719707489014
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,1280,4,0.08535040020942689
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,640,8,0.0608672022819519
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,19110,640,8,0.02847360074520111
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,2560,2,0.2582592010498047
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,5120,1,0.5365856170654297
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,640,8,0.08978880047798157
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,1280,4,0.1278656005859375
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,2560,2,0.38385920524597167
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,5120,1,0.7986559867858887
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,1280,4,0.1885215997695923
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,640,8,0.13193279504776
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,1,0.23765120506286622
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,4,0.23758718967437745
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,8,0.23748478889465333
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,1,0.3874560117721558
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,2,0.38753600120544435
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,4,0.38743040561676023
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,8,0.3874624013900757
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,2,0.2378432035446167
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,1,0.5244448184967041
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,4,0.5245855808258056
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,8,0.5246463775634765
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,47190,5120,1,0.5739903926849366
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,47190,5120,2,0.5741631984710693
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,47190,5120,4,0.5738368034362793
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,47190,5120,8,0.5741951942443848
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,71280,5120,1,0.8617695808410645
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,71280,5120,2,0.8622495651245117
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,2,0.5252768039703369
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,71280,5120,4,0.8619711875915528
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,71280,5120,8,0.8619872093200683
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,106480,5120,1,1.2827775955200196
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,106480,5120,2,1.2829343795776367
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,106480,5120,4,1.282323169708252
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,106480,5120,8,1.2830431938171387
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,torch_rmsnorm,1,19110,5120,1,1.524294376373291
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,torch_rmsnorm,1,19110,2560,2,0.7790112018585205
