framework,version,device,op_name,kernel_source,model,task,batch_size,in_channels,frames,height,width,patch_t,patch_h,patch_w,seq_len,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-TI2V-5B,ti2v,1,16,121,44,80,1,2,2,106480,9.85927963256836
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-TI2V-5B,ti2v,1,16,49,44,80,1,2,2,43120,8.896578979492187
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-TI2V-5B,ti2v,1,16,81,44,80,1,2,2,71280,9.503177642822266
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,121,45,80,1,2,2,106480,9.872227478027344
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,121,30,52,1,2,2,47190,9.23511962890625
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,81,45,80,1,2,2,71280,11.105027008056641
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,81,30,52,1,2,2,31590,8.812822723388672
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,49,45,80,1,2,2,43120,10.652191925048829
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,49,30,52,1,2,2,19110,10.249260711669923
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,121,45,80,1,2,2,106480,11.633916473388672
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,121,30,52,1,2,2,47190,11.00778579711914
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,81,45,80,1,2,2,71280,11.098822021484375
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,49,45,80,1,2,2,43120,10.650697326660156
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,81,30,52,1,2,2,31590,10.552082824707032
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,49,30,52,1,2,2,19110,10.175218963623047
