framework,version,device,op_name,kernel_source,batch_size,seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,triton_rope_fallback,1,106480,40,128,1,1,none,2.0882240295410157
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,triton_rope_fallback,1,106480,20,128,1,2,ulysses,1.0628607749938965
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,53240,40,128,1,2,ring,0.7914815902709961
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,26620,40,128,1,4,ring,0.39658560752868655
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,5,128,1,8,ulysses,0.20888960361480713
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,13310,40,128,1,8,ring,0.20277121067047119
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,20,128,2,1,none,0.7830751895904541
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,10,128,2,2,ulysses,0.39870080947875974
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,10,128,1,4,ulysses,0.398528003692627
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,5,128,2,4,ulysses,0.20944640636444092
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,53240,20,128,2,2,ring,0.4014912128448486
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,13310,20,128,2,8,ring,0.10427199602127075
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,26620,20,128,2,4,ring,0.20539839267730714
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,10,128,4,1,none,0.39898560047149656
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,5,128,4,2,ulysses,0.21126399040222169
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,53240,10,128,4,2,ring,0.20627200603485107
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,26620,10,128,4,4,ring,0.10761280059814453
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,13310,10,128,4,8,ring,0.05434880256652832
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,53240,5,128,8,2,ring,0.1092479944229126
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,5,128,8,1,none,0.2100895881652832
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,13310,5,128,8,8,ring,0.029068800806999206
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,71280,40,128,1,1,none,1.0383904457092286
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,71280,20,128,1,2,ulysses,0.5278816223144531
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,35640,40,128,1,2,ring,0.5250592231750488
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,71280,10,128,1,4,ulysses,0.27054400444030763
