framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,requested_backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,106480,512,5,128,1,8,ulysses,0.23624958992004394
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,106480,257,5,128,1,8,ulysses,0.17172479629516602
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,13310,512,40,128,1,8,ring,0.23559041023254396
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,13310,257,40,128,1,8,ring,0.1726591944694519
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,106480,512,5,128,2,4,ulysses,0.23560960292816163
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,106480,257,5,128,2,4,ulysses,0.17173759937286376
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,26620,512,20,128,2,4,ring,0.23596160411834716
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,26620,257,20,128,2,4,ring,0.17197120189666748
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,13310,512,20,128,2,8,ring,0.12299840450286866
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,13310,257,20,128,2,8,ring,0.09172800183296204
