framework,version,device,op_name,kernel_source,batch_size,seq_len,hidden_size,tp_size,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,19110,5120,1,0.1633407950401306
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,19110,5120,2,0.1630784034729004
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,19110,5120,4,0.16342079639434814
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,19110,5120,8,0.16348479986190795
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,31590,5120,1,0.2665024042129517
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,31590,5120,2,0.26528000831604004
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,31590,5120,4,0.2659392118453979
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,31590,5120,8,0.26590719223022463
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,43120,5120,1,0.3609920024871826
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,43120,5120,2,0.360915207862854
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,43120,5120,4,0.3608544111251831
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,43120,5120,8,0.3605504035949707
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,47190,5120,1,0.3951103925704956
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,47190,5120,2,0.39617600440979006
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,47190,5120,4,0.39677441120147705
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,47190,5120,8,0.39586238861083983
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,71280,5120,1,0.5930880069732666
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,71280,5120,2,0.5961567878723144
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,71280,5120,4,0.5963071823120117
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,71280,5120,8,0.596608018875122
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,106480,5120,1,0.8841024398803711
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,106480,5120,2,0.8876832008361817
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,106480,5120,4,0.8877663612365723
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,sglang_layernorm_scale_shift,1,106480,5120,8,0.8865632057189942
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,19110,5120,1,0.13188480138778685
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,19110,2560,2,0.07019519805908203
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,19110,1280,4,0.035519999265670774
