framework,version,device,op_name,kernel_source,model,task,batch_size,in_channels,frames,height,width,patch_t,patch_h,patch_w,seq_len,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-TI2V-5B,ti2v,1,16,121,44,80,1,2,2,106480,3.3089630126953127
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-TI2V-5B,ti2v,1,16,81,44,80,1,2,2,71280,2.22894401550293
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-TI2V-5B,ti2v,1,16,49,44,80,1,2,2,43120,1.3682592391967774
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,121,45,80,1,2,2,106480,3.308720016479492
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,121,30,52,1,2,2,47190,1.4964799880981445
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,81,45,80,1,2,2,71280,2.231452751159668
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,81,30,52,1,2,2,31590,1.0202816009521485
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,49,45,80,1,2,2,43120,1.371788787841797
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-T2V-A14B,t2v,1,16,49,30,52,1,2,2,19110,0.6365344047546386
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,121,45,80,1,2,2,106480,3.3063968658447265
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,121,30,52,1,2,2,47190,1.4972064018249511
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,81,45,80,1,2,2,71280,2.2311935424804688
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,81,30,52,1,2,2,31590,1.0203136444091796
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,49,45,80,1,2,2,43120,1.371388816833496
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_patch_embed,torch_conv3d,Wan2.2-I2V-A14B,i2v,1,16,49,30,52,1,2,2,19110,0.6359360218048096
