framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,71280,6912,5120,4.728197309705946
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,5390,3456,5120,0.22968355814615884
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,13310,1280,5120,0.24931110276116264
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,26620,3456,5120,1.074146694607205
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,3949,1280,5120,0.11033599906497532
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,71280,1728,5120,1.6659972932603624
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,4778,5120,3456,0.1687964465883043
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,35640,5120,1728,0.804867532518175
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,512,640,4096,0.018977777825461496
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,2389,1280,5120,0.05603555838267008
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,8910,1728,5120,0.25676798820495605
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,5899,5120,1728,0.1057751112514072
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,23595,5120,1280,0.32527467939588756
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,35640,5120,6912,2.413665771484375
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,10780,5120,3456,0.5185093349880642
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,3949,5120,640,0.042731556627485484
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,43120,1728,5120,1.0070604748196073
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,31590,13824,5120,4.047902425130208
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,4778,5120,1280,0.09909600019454956
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,2389,5120,6912,0.16691199938456217
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,35640,640,5120,0.746379534403483
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,31590,1728,5120,0.7433662414550781
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,7898,5120,13824,1.067055066426595
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,7898,640,5120,0.07722755273183186
