framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,2,128,1,fp8,fp8,0,76.70477905273438
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,2,128,1,bfloat16,fp8,0,77.75586547851563
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,1,128,1,bfloat16,bfloat16,0,91.53700561523438
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,1,128,1,bfloat16,fp8,0,79.27929077148437
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,1,128,1,fp8,fp8,0,76.9113037109375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,4,128,1,bfloat16,fp8,0,77.13491821289062
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,2,128,1,bfloat16,bfloat16,0,92.62169189453125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,4,128,1,bfloat16,bfloat16,0,92.09097290039062
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,4,128,1,fp8,fp8,0,76.61715087890624
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,8,128,1,bfloat16,fp8,0,77.73029174804688
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,1,128,1,bfloat16,bfloat16,0,45.71747741699219
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,8,128,1,fp8,fp8,0,79.90698852539063
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,1,128,1,bfloat16,fp8,0,38.11539916992187
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,1,128,1,fp8,fp8,0,38.538351440429686
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,2,128,1,bfloat16,bfloat16,0,45.72013549804687
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,2,128,1,bfloat16,fp8,0,39.68836975097656
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,2,128,1,fp8,fp8,0,38.146087646484375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,4,128,1,bfloat16,bfloat16,0,45.57928466796875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,4,128,1,bfloat16,fp8,0,38.71171569824219
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,4,128,1,fp8,fp8,0,39.75483703613281
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,8,128,1,bfloat16,fp8,0,38.80010986328125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,8,128,1,fp8,fp8,0,38.87504272460937
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,8,128,1,bfloat16,bfloat16,0,45.7834228515625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,96,128,1,bfloat16,bfloat16,0,23.64606475830078
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,96,128,1,bfloat16,fp8,0,19.16059265136719
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,96,128,1,fp8,fp8,0,20.27533416748047
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,1,128,1,bfloat16,bfloat16,0,21.652680969238283
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,96,128,1,bfloat16,fp8,0,39.819873046875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,96,128,1,fp8,fp8,0,39.964288330078126
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,1,128,1,bfloat16,fp8,0,20.49401397705078
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,1,128,1,fp8,fp8,0,20.113433837890625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,16384,96,96,128,1,bfloat16,bfloat16,0,48.610592651367185
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,2,128,1,bfloat16,bfloat16,0,22.887232971191406
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,2,128,1,bfloat16,fp8,0,19.775350952148436
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,16384,96,8,128,1,bfloat16,bfloat16,0,93.17864990234375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,2,128,1,fp8,fp8,0,18.547090148925783
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,4,128,1,bfloat16,fp8,0,19.151692199707032
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,4,128,1,fp8,fp8,0,18.724580383300783
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,4,128,1,bfloat16,bfloat16,0,22.356747436523438
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,96,128,1,bfloat16,bfloat16,0,11.937267303466797
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,8,128,1,bfloat16,bfloat16,0,22.519154357910157
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,8,128,1,bfloat16,fp8,0,19.28241882324219
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,96,128,1,bfloat16,fp8,0,9.814545440673829
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,96,128,1,fp8,fp8,0,10.536656188964844
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,2,16384,96,8,128,1,fp8,fp8,0,18.72081756591797
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,1,128,1,bfloat16,bfloat16,0,11.519950103759765
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,1,128,1,bfloat16,fp8,0,9.747716522216797
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,1,128,1,fp8,fp8,0,9.81378402709961
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,2,128,1,bfloat16,fp8,0,9.672459411621094
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,2,128,1,bfloat16,bfloat16,0,11.764726257324218
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,2,128,1,fp8,fp8,0,10.252065277099609
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,4,128,1,bfloat16,fp8,0,9.937654113769531
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,4,128,1,fp8,fp8,0,10.030168151855468
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,4,128,1,bfloat16,bfloat16,0,12.013297271728515
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,8,128,1,bfloat16,bfloat16,0,11.9279296875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,8,128,1,bfloat16,fp8,0,9.798214721679688
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,8,128,1,fp8,fp8,0,9.936465454101562
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,1,128,1,bfloat16,fp8,0,44.006265258789064
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,1,128,1,fp8,fp8,0,43.29148864746094
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,2,128,1,bfloat16,fp8,0,45.098175048828125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,2,128,1,fp8,fp8,0,44.070623779296874
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,1,128,1,bfloat16,bfloat16,0,51.85269775390625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,4,128,1,bfloat16,fp8,0,44.36692810058594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,2,128,1,bfloat16,bfloat16,0,51.5982177734375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,4,128,1,bfloat16,bfloat16,0,52.47163696289063
