framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,128,0.004545919895172119,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,128,0.020712640285491943,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,256,0.0044774401187896735,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,256,0.020498239994049074,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,512,0.0044377601146697995,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,512,0.020715839862823486,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,1024,0.004486719965934753,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,1024,0.020516479015350343,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,2048,0.004577920138835907,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,2048,0.020697600841522217,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,4096,0.004659520089626312,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,4096,0.020612480640411376,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,8192,0.004627520143985748,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,8192,0.02045792102813721,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,16384,0.004552319943904877,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,16384,0.020523838996887207,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,32768,0.004700480103492737,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,32768,0.020634880065917967,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,65536,0.0049001601338386535,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,65536,0.020600318908691406,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,131072,0.005230720043182373,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,131072,0.020694398880004884,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,262144,0.006372479796409607,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,262144,0.020663681030273436,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,524288,0.00843455970287323,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,524288,0.020738561153411866,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,1048576,0.012533760070800782,sglang_graph
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_eager,bfloat16,2,1048576,0.02092416048049927,sglang_eager
SGLang,0.5.9,NVIDIA H100 80GB HBM3,all_reduce,SGLang_CustomAllReduce_graph,bfloat16,2,2097152,0.020383679866790773,sglang_graph
