framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,1,1,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.0072063997387886046
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1,1,1,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004527999833226204
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,fused_recurrent_gated_delta_rule,generation,1,1,1,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.0048096001148223875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,2,1,2,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.003958399966359138
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,fused_recurrent_gated_delta_rule,generation,2,1,2,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.005062400177121162
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,4,1,4,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004025600105524063
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,2,2,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.007625599950551986
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,4,4,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.006963200122117996
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,8,8,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.005910399928689003
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,16,16,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.005849599838256836
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,32,32,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.005875200033187866
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,64,64,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.005846399813890457
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,128,128,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.005824000015854836
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,256,256,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.006307200342416763
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,512,512,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.00599679984152317
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,1024,1024,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.00605119988322258
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,2048,2048,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.007900799810886382
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,4096,4096,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.011187200248241425
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,8192,8192,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.023097600042819976
