framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,224,1536,2048,0.007526222202512953
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,4096,65536,3072,1.2589066823323567
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,81,65536,64,0.0075662218862109715
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,257,3072,65536,0.18059644434187147
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,2560,5120,32,0.01699199941423204
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,8,6144,5120,0.018048000004556444
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,113,512,5120,0.010103111465771994
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,129,16384,32,0.011071110765139261
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,8192,3584,768,0.05283288823233711
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,4353,8192,64,0.03861600160598755
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,9,4096,5120,0.013880000346236758
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,1025,5120,7168,0.14707999759250218
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,1024,1024,3584,0.014927999840842353
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,112,6144,6144,0.030879110097885132
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,5,1024,256,0.004912888838185204
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,8,3584,768,0.0038897775941424896
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,49,4096,6144,0.015792888071801927
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,256,512,4096,0.008408889174461365
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,1537,128,512,0.0034613334056403902
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,32768,1536,51200,8.345097859700521
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,2560,2560,2560,0.04427644279268053
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,81,12288,5120,0.042542222473356456
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,3073,16384,1024,0.10499999920527141
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,192,1024,5120,0.010896888871987661
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,1793,5120,65536,1.5874364640977647
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,48,128,5120,0.008437333007653555
SGLang,0.5.9,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,65,1536,128,0.004261333495378494
