framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,1,0.12747999429702758
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,1,0.15500639677047728
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,3,0.12750719785690307
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,3,0.15482399463653565
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,7,0.15493119955062867
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,15,0.1283743977546692
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,15,0.15521119832992553
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,31,0.13381919860839844
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,31,0.15475200414657592
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,63,0.1377408027648926
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,63,0.16564160585403442
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,127,0.1433087944984436
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,127,0.17233439683914184
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,255,0.21009440422058107
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,7,0.12719520330429077
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,255,0.21763200759887696
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,511,0.33966240882873533
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,1023,0.7151296138763428
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,1023,0.5371424198150635
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,511,0.38323359489440917
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,bfloat16,2047,1.396134376525879
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,1,0.0135903999209404
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,1,0.013606399297714233
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,3,0.01353919953107834
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,3,0.013643200695514678
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,7,0.014019200205802917
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,7,0.014204800128936768
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,64,1,64,64,128,1,bfloat16,fp8,2047,0.9062159538269043
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,15,0.013844799995422364
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,31,0.01374559998512268
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,31,0.013606399297714233
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,63,0.013633599877357483
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,63,0.013675199449062347
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,127,0.013681599497795105
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,127,0.013644799590110779
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,255,0.015535999834537507
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,fp8,255,0.015646399557590486
SGLang,0.5.9,NVIDIA H100 80GB HBM3,generation_attention,flash_attention,1,1,64,64,128,1,bfloat16,bfloat16,511,0.01851679980754852
