framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,128,0.006233600154519081
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,128,0.009151999652385712
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,64,0.004992000013589859
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,64,0.00873280018568039
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,32,0.004508800059556961
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,32,0.008035200089216233
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,16,0.004224000126123428
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,16,0.007788799703121185
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,8,0.004128000140190125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,8,0.007680000364780426
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,4,0.004076800122857094
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,4,0.007798399776220322
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,2,0.008144000172615051
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,1,0.004172800108790398
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,1,1,0.007760000228881836
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,128,0.006451199948787689
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,1,2,0.0049183998256921765
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,8,0.004150399938225746
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,64,0.005020799860358238
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,32,0.004844800010323525
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,16,0.004518400132656098
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,2,0.004873599857091904
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,128,0.009440000355243682
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,2,1,0.0040895998477935794
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,2,1,0.007526399940252304
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,128,0.006326399743556976
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4,128,0.009644799679517747
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,64,0.005075199902057648
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4,64,0.009014400094747544
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,32,0.004527999833226204
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4,32,0.008604799956083297
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,16,0.0042975999414920805
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4,16,0.008291199803352356
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,8,0.0040895998477935794
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4,8,0.007980799674987793
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,4,0.00411520004272461
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4,4,0.00759039968252182
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,2,0.003961599990725517
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,4,2,0.00785600021481514
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,4,1,0.0040224000811576845
