framework,version,device,op_name,kernel_source,concat_dtype,num_tokens,num_heads,batch_size,isl,tp_size,qk_nope_head_dim,qk_rope_head_dim,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,1,64,1,1,1,128,64,0.008235199749469757
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,1,32,1,1,2,128,64,0.0035631999373435972
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,1,16,1,1,4,128,64,0.00740320011973381
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,1,4,1,1,16,128,64,0.0035023998469114305
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,1,1,1,1,64,128,64,0.003480000048875809
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,16,64,1,16,1,128,64,0.003654399886727333
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,16,32,1,16,2,128,64,0.0037935998290777205
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,16,16,1,16,4,128,64,0.003705599904060364
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,1,2,1,1,32,128,64,0.007409600168466568
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,16,4,1,16,16,128,64,0.007430399954319
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,16,2,1,16,32,128,64,0.007340800017118454
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,16,1,1,16,64,128,64,0.007569599896669388
