framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,1,4096,14336,2,8,1,1,balanced,0.3272134399414063
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,2,4096,14336,2,8,1,1,balanced,0.5181497573852539
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,4,4096,14336,2,8,1,1,balanced,0.970615005493164
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,80,4096,14336,2,8,1,1,balanced,1.3234259033203126
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,96,4096,14336,2,8,1,1,balanced,1.3385440063476561
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,8,4096,14336,2,8,1,1,balanced,0.9746246337890625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,128,4096,14336,2,8,1,1,balanced,1.3508883666992186
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,32,4096,14336,2,8,1,1,balanced,1.273031005859375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,16,4096,14336,2,8,1,1,balanced,1.2560761260986328
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,48,4096,14336,2,8,1,1,balanced,1.2891699218750001
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,64,4096,14336,2,8,1,1,balanced,1.300631103515625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,160,4096,14336,2,8,1,1,balanced,1.3841273498535156
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,192,4096,14336,2,8,1,1,balanced,1.408931884765625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,256,4096,14336,2,8,1,1,balanced,1.4648934936523437
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,320,4096,14336,2,8,1,1,balanced,2.1022425842285157
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,512,4096,14336,2,8,1,1,balanced,1.862446746826172
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,384,4096,14336,2,8,1,1,balanced,1.9884031677246092
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,768,4096,14336,2,8,1,1,balanced,2.615278625488281
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,1024,4096,14336,2,8,1,1,balanced,3.205386962890625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,1536,4096,14336,2,8,1,1,balanced,4.8889440917968745
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,2048,4096,14336,2,8,1,1,balanced,6.025040893554687
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,3072,4096,14336,2,8,1,1,balanced,9.765708007812501
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,4096,4096,14336,2,8,1,1,balanced,12.444256591796876
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,6144,4096,14336,2,8,1,1,balanced,19.837677001953125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,8192,4096,14336,2,8,1,1,balanced,27.4023046875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,12288,4096,14336,2,8,1,1,balanced,41.6374462890625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,1,4096,14336,2,8,1,1,balanced,0.16294527053833008
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,16,4096,14336,2,8,1,1,balanced,0.5053996658325195
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,2,4096,14336,2,8,1,1,balanced,0.2816857528686524
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,32,4096,14336,2,8,1,1,balanced,0.5102246475219727
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,48,4096,14336,2,8,1,1,balanced,0.5148940658569335
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,8,4096,14336,2,8,1,1,balanced,0.5061574554443359
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,4,4096,14336,2,8,1,1,balanced,0.5017478561401367
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,64,4096,14336,2,8,1,1,balanced,0.5185907363891602
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,80,4096,14336,2,8,1,1,balanced,0.5226540756225586
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,16384,4096,14336,2,8,1,1,balanced,57.7246923828125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,256,4096,14336,2,8,1,1,balanced,0.5651590347290039
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,320,4096,14336,2,8,1,1,balanced,0.576295051574707
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,96,4096,14336,2,8,1,1,balanced,0.5229817581176758
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,128,4096,14336,2,8,1,1,balanced,0.527636489868164
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,160,4096,14336,2,8,1,1,balanced,0.5328774261474609
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,192,4096,14336,2,8,1,1,balanced,0.5378118515014648
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,384,4096,14336,2,8,1,1,balanced,0.5876780700683594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,512,4096,14336,2,8,1,1,balanced,0.6274687957763672
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,768,4096,14336,2,8,1,1,balanced,0.7262496185302735
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,1024,4096,14336,2,8,1,1,balanced,0.7813299560546876
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,1536,4096,14336,2,8,1,1,balanced,1.1326745605468749
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,2048,4096,14336,2,8,1,1,balanced,1.4465113830566405
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,3072,4096,14336,2,8,1,1,balanced,2.1037452697753904
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,4096,4096,14336,2,8,1,1,balanced,2.787780456542969
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,6144,4096,14336,2,8,1,1,balanced,4.0832147216796875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,8192,4096,14336,2,8,1,1,balanced,5.493428955078125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,12288,4096,14336,2,8,1,1,balanced,8.024411621093751
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,16384,4096,14336,2,8,1,1,balanced,11.220130615234375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,1,4096,14336,2,8,1,1,balanced,0.09063551902770997
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,16,4096,14336,2,8,1,1,balanced,0.28601280212402347
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,80,4096,14336,2,8,1,1,balanced,0.38338432312011717
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,48,4096,14336,2,8,1,1,balanced,0.29991552352905276
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,96,4096,14336,2,8,1,1,balanced,0.3848102569580078
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,8,4096,14336,2,8,1,1,balanced,0.2838457679748535
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,128,4096,14336,2,8,1,1,balanced,0.5110847854614258
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,160,4096,14336,2,8,1,1,balanced,0.5202425765991211
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,32,4096,14336,2,8,1,1,balanced,0.2962361526489258
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,4,4096,14336,2,8,1,1,balanced,0.2830886459350586
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,192,4096,14336,2,8,1,1,balanced,0.6401100921630859
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,256,4096,14336,2,8,1,1,balanced,0.6427449798583984
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,64,4096,14336,2,8,1,1,balanced,0.37906944274902343
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,2,4096,14336,2,8,1,1,balanced,0.15419839859008788
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,320,4096,14336,2,8,1,1,balanced,1.2204121398925782
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,384,4096,14336,2,8,1,1,balanced,1.2392845153808594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,512,4096,14336,2,8,1,1,balanced,1.220791015625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,768,4096,14336,2,8,1,1,balanced,1.847187194824219
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,1024,4096,14336,2,8,1,1,balanced,2.4900749206542967
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,1536,4096,14336,2,8,1,1,balanced,3.677178955078125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,2048,4096,14336,2,8,1,1,balanced,5.0648095703125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,1,4096,14336,2,8,1,1,power_law_1.01,0.333331184387207
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,4,4096,14336,2,8,1,1,power_law_1.01,0.609356803894043
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,3072,4096,14336,2,8,1,1,balanced,7.368142700195312
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,2,4096,14336,2,8,1,1,power_law_1.01,0.5004140853881835
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,8,4096,14336,2,8,1,1,power_law_1.01,0.9528659057617187
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,32,4096,14336,2,8,1,1,power_law_1.01,1.2710912322998047
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,48,4096,14336,2,8,1,1,power_law_1.01,1.2757843017578125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,64,4096,14336,2,8,1,1,power_law_1.01,1.270750732421875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,80,4096,14336,2,8,1,1,power_law_1.01,1.2804537963867186
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,16,4096,14336,2,8,1,1,power_law_1.01,1.255831069946289
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,4096,4096,14336,2,8,1,1,balanced,11.09256103515625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,96,4096,14336,2,8,1,1,power_law_1.01,1.3322714233398438
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,128,4096,14336,2,8,1,1,power_law_1.01,1.4051731872558595
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,160,4096,14336,2,8,1,1,power_law_1.01,1.4355545043945312
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,256,4096,14336,2,8,1,1,power_law_1.01,1.7449952697753908
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,320,4096,14336,2,8,1,1,power_law_1.01,1.842216339111328
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,384,4096,14336,2,8,1,1,power_law_1.01,1.9486912536621095
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,192,4096,14336,2,8,1,1,power_law_1.01,1.59323974609375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,6144,4096,14336,2,8,1,1,balanced,15.3461181640625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,512,4096,14336,2,8,1,1,power_law_1.01,2.3267181396484373
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,768,4096,14336,2,8,1,1,power_law_1.01,2.927015075683594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,1024,4096,14336,2,8,1,1,power_law_1.01,3.7389739990234374
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,1536,4096,14336,2,8,1,1,power_law_1.01,5.404799194335938
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,8192,4096,14336,2,8,1,1,balanced,21.76212646484375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,2048,4096,14336,2,8,1,1,power_law_1.01,6.987955932617187
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,3072,4096,14336,2,8,1,1,power_law_1.01,10.556462402343751
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,1,4096,14336,2,8,1,1,power_law_1.01,0.17085311889648438
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,2,4096,14336,2,8,1,1,power_law_1.01,0.2704351997375488
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,4,4096,14336,2,8,1,1,power_law_1.01,0.32898113250732425
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,8,4096,14336,2,8,1,1,power_law_1.01,0.493583984375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,16,4096,14336,2,8,1,1,power_law_1.01,0.5059686279296874
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,32,4096,14336,2,8,1,1,power_law_1.01,0.5108736038208008
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,12288,4096,14336,2,8,1,1,balanced,31.837937011718747
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,48,4096,14336,2,8,1,1,power_law_1.01,0.5140166473388672
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,4096,4096,14336,2,8,1,1,power_law_1.01,13.314881591796876
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,96,4096,14336,2,8,1,1,power_law_1.01,0.5370438385009766
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,80,4096,14336,2,8,1,1,power_law_1.01,0.5096985626220703
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,64,4096,14336,2,8,1,1,power_law_1.01,0.5060454559326172
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,128,4096,14336,2,8,1,1,power_law_1.01,0.6173241424560547
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,160,4096,14336,2,8,1,1,power_law_1.01,0.6390873718261718
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,192,4096,14336,2,8,1,1,power_law_1.01,0.6870476531982421
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,256,4096,14336,2,8,1,1,power_law_1.01,0.663974380493164
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,320,4096,14336,2,8,1,1,power_law_1.01,0.683583984375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,384,4096,14336,2,8,1,1,power_law_1.01,0.7330477142333984
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,512,4096,14336,2,8,1,1,power_law_1.01,0.64840576171875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,768,4096,14336,2,8,1,1,power_law_1.01,0.8119436645507813
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,1024,4096,14336,2,8,1,1,power_law_1.01,0.9034067535400391
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,1536,4096,14336,2,8,1,1,power_law_1.01,1.2369184112548828
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,2048,4096,14336,2,8,1,1,power_law_1.01,1.584396209716797
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,3072,4096,14336,2,8,1,1,power_law_1.01,2.2433497619628904
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,bfloat16,6144,4096,14336,2,8,1,1,power_law_1.01,20.354029541015628
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,16384,4096,14336,2,8,1,1,balanced,42.158232421875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,4096,4096,14336,2,8,1,1,power_law_1.01,2.9330758666992187
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,1,4096,14336,2,8,1,1,power_law_1.01,0.09347776412963868
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,2,4096,14336,2,8,1,1,power_law_1.01,0.15120960235595704
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,4,4096,14336,2,8,1,1,power_law_1.01,0.17563455581665038
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,8,4096,14336,2,8,1,1,power_law_1.01,0.2786457633972168
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,16,4096,14336,2,8,1,1,power_law_1.01,0.28501760482788085
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,32,4096,14336,2,8,1,1,power_law_1.01,0.3132179260253906
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,48,4096,14336,2,8,1,1,power_law_1.01,0.38251007080078125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,64,4096,14336,2,8,1,1,power_law_1.01,0.44819393157958987
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,80,4096,14336,2,8,1,1,power_law_1.01,0.4824537658691407
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_fused_moe_triton,fp8_block,6144,4096,14336,2,8,1,1,power_law_1.01,4.253630676269531
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,96,4096,14336,2,8,1,1,power_law_1.01,0.5105215835571288
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,128,4096,14336,2,8,1,1,power_law_1.01,0.6388780975341797
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,160,4096,14336,2,8,1,1,power_law_1.01,0.7467065429687499
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,192,4096,14336,2,8,1,1,power_law_1.01,0.8572013092041015
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,256,4096,14336,2,8,1,1,power_law_1.01,1.0178431701660156
SGLang,0.5.9,NVIDIA H100 80GB HBM3,moe,sglang_marlin_moe,int4_wo,320,4096,14336,2,8,1,1,power_law_1.01,1.1437331390380858
