framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency,ops,mem_bytes,intensity_op,intensity_hw,rel_ratio,sol_math,sol_mem,mfu,mbu
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,256,1,1,0,0.6384479999542236,10485760,31457280,0.3333333333333333,312.5,0.0010666666666666665,4.194304e-06,0.00393216,6.569531113419933e-06,0.006158935418831187
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,256,1,1,0,0.6637493371963501,10485760,41943040,0.25,312.5,0.0008,4.194304e-06,0.00524288,6.31910838166192e-06,0.0078988854770774
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,256,16,1,0,0.7911093235015869,2684354560,503316480,5.333333333333333,312.5,0.017066666666666664,0.001073741824,0.06291456,0.0013572609904879298,0.07952701116140214
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,256,16,1,0,0.6923786799112955,2684354560,671088640,4.0,312.5,0.0128,0.001073741824,0.08388608,0.0015508013969141323,0.12115635913391659
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,256,32,1,0,0.9894453684488932,10737418240,1006632960,10.666666666666666,312.5,0.03413333333333333,0.004294967296,0.12582912,0.004340782657594342,0.12717136692170924
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,256,32,1,0,0.7743733723958334,10737418240,1342177280,8.0,312.5,0.0256,0.004294967296,0.16777216,0.005546377818637801,0.21665538354053912
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,256,64,1,0,1.5014665921529131,42949672960,2013265920,21.333333333333332,312.5,0.06826666666666666,0.017179869184,0.25165824,0.011442058900135927,0.16760828466995986
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,256,64,1,0,0.9849653244018556,42949672960,2684354560,16.0,312.5,0.0512,0.017179869184,0.33554432,0.017442105583191873,0.3406661246717163
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,256,128,1,0,2.4420480728149414,171798691840,4026531840,42.666666666666664,312.5,0.1365333333333333,0.068719476736,0.50331648,0.028140099902614638,0.2061042473336033
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,256,128,1,0,1.338314692179362,171798691840,5368709120,32.0,312.5,0.1024,0.068719476736,0.67108864,0.05134777129592339,0.5014430790617519
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,256,256,1,0,4.638874689737956,687194767360,8053063680,85.33333333333333,312.5,0.2730666666666666,0.274877906944,1.00663296,0.059255299038812256,0.2169993861284628
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,256,256,1,0,2.6891307830810547,687194767360,10737418240,64.0,312.5,0.2048,0.274877906944,1.34217728,0.1022181251553189,0.4991119392349556
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,128,1,1,0,0.3293333252271016,5242880,15728640,0.3333333333333333,312.5,0.0010666666666666665,2.097152e-06,0.00196608,6.3678706020833035e-06,0.005969878689453097
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,128,1,1,0,0.3392426570256551,5242880,20971520,0.25,312.5,0.0008,2.097152e-06,0.00262144,6.181864092172241e-06,0.007727330115215301
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,128,16,1,0,0.4085973501205444,1342177280,251658240,5.333333333333333,312.5,0.017066666666666664,0.000536870912,0.03145728,0.0013139363528461756,0.0769884581745806
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,128,16,1,0,0.3542133172353108,1342177280,335544320,4.0,312.5,0.0128,0.000536870912,0.04194304,0.0015156711672795356,0.11841180994371373
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,128,32,1,0,0.5015999873479208,5368709120,503316480,10.666666666666666,312.5,0.03413333333333333,0.002147483648,0.06291456,0.004281267348817651,0.12542775435989212
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,128,32,1,0,0.3900586764017741,5368709120,671088640,8.0,312.5,0.0256,0.002147483648,0.08388608,0.005505540006980941,0.215060156522693
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,128,64,1,0,0.7544106642405192,21474836480,1006632960,21.333333333333332,312.5,0.06826666666666666,0.008589934592,0.12582912,0.011386284684413448,0.16679127955683762
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,128,64,1,0,0.5046453475952148,21474836480,1342177280,16.0,312.5,0.0512,0.008589934592,0.16777216,0.017021725520573197,0.33245557657369523
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,128,128,1,0,1.2259413401285808,85899345920,2013265920,42.666666666666664,312.5,0.1365333333333333,0.034359738368,0.25165824,0.028027228745215686,0.2052775542862477
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,128,128,1,0,0.6776320139567057,85899345920,2684354560,32.0,312.5,0.1024,0.034359738368,0.33554432,0.05070560076902633,0.4951718825100228
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,128,256,1,0,2.2777279218037925,343597383680,4026531840,85.33333333333333,312.5,0.2730666666666666,0.137438953472,0.50331648,0.06034037347321031,0.22097304738724477
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,128,256,1,0,1.3393759727478027,343597383680,5368709120,64.0,312.5,0.2048,0.137438953472,0.67108864,0.10261416978388563,0.5010457508978791
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,128,512,1,0,4.979424158732097,1374389534720,8053063680,170.66666666666666,312.5,0.5461333333333332,0.549755813888,1.00663296,0.11040549998616377,0.20215850827544632
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,128,512,1,0,3.08679993947347,1374389534720,10737418240,128.0,312.5,0.4096,0.549755813888,1.34217728,0.17809894540226484,0.43481187842349817
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,1,1,0,0.1725653409957885,2621440,7864320,0.3333333333333333,312.5,0.0010666666666666665,1.048576e-06,0.00098304,6.0763997796382e-06,0.005696624793410812
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,1,1,0,0.1748159925142924,2621440,10485760,0.25,312.5,0.0008,1.048576e-06,0.00131072,5.998169760780163e-06,0.0074977122009752045
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,16,1,0,0.214896003405253,671088640,125829120,5.333333333333333,312.5,0.017066666666666664,0.000268435456,0.01572864,0.0012491412206200121,0.07319186839570382
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,16,1,0,0.1895999908447265,671088640,167772160,4.0,312.5,0.0128,0.000268435456,0.02097152,0.0014157988869305169,0.11060928804144664
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,32,1,0,0.2625120083491007,2684354560,251658240,10.666666666666666,312.5,0.03413333333333333,0.001073741824,0.03145728,0.0040902579304946994,0.11983177530746189
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,32,1,0,0.2081279953320821,2684354560,335544320,8.0,312.5,0.0256,0.001073741824,0.04194304,0.005159045626162753,0.20152521977198254
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,64,1,0,0.3853226502736409,10737418240,503316480,21.333333333333332,312.5,0.06826666666666666,0.004294967296,0.06291456,0.011146417925211208,0.16327760632633603
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,64,1,0,0.2534026702245076,10737418240,671088640,16.0,312.5,0.0512,0.004294967296,0.08388608,0.016949179312888776,0.33103865845485886
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,128,1,0,0.6182026863098145,42949672960,1006632960,42.666666666666664,312.5,0.1365333333333333,0.017179869184,0.12582912,0.027790026741149176,0.20354023492052617
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,128,1,0,0.3517226775487264,42949672960,1342177280,32.0,312.5,0.1024,0.017179869184,0.16777216,0.04884492891880696,0.4770012589727242
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,256,1,0,1.1440693537394206,171798691840,2013265920,85.33333333333333,312.5,0.2730666666666666,0.068719476736,0.25165824,0.06006583124649619,0.21996764372496164
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,256,1,0,0.6804107030232748,171798691840,2684354560,64.0,312.5,0.2048,0.068719476736,0.33554432,0.10099705432418707,0.4931496793173197
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,512,1,0,2.451925277709961,687194767360,4026531840,170.66666666666666,312.5,0.5461333333333332,0.274877906944,0.50331648,0.11210696730559805,0.20527398798632454
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,512,1,0,1.490106741587321,687194767360,5368709120,128.0,312.5,0.4096,0.274877906944,0.67108864,0.18446860165949527,0.45036279702025217
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,1024,1,0,5.613077163696289,2748779069440,8053063680,341.3333333333333,312.5,1.0922666666666665,1.099511627776,1.00663296,0.1958839324154162,0.1793370963275905
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,1024,1,0,4.097034772237142,2748779069440,10737418240,256.0,312.5,0.8192,1.099511627776,1.34217728,0.268367658294397,0.32759723912890265
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,1,1,0,0.095141331354777,1310720,3932160,0.3333333333333333,312.5,0.0010666666666666665,5.24288e-07,0.00049152,5.510622907356191e-06,0.005166208975646429
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,1,1,0,0.0954186618328094,1310720,5242880,0.25,312.5,0.0008,5.24288e-07,0.00065536,5.494606504948125e-06,0.006868258131185157
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,16,1,0,0.1191466649373372,335544320,62914560,5.333333333333333,312.5,0.017066666666666664,0.000134217728,0.00786432,0.0011264916904773553,0.06600537248890753
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,16,1,0,0.1016533374786377,335544320,83886080,4.0,312.5,0.0128,0.000134217728,0.01048576,0.001320347480260603,0.1031521468953596
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,32,1,0,0.141375998655955,1342177280,125829120,10.666666666666666,312.5,0.03413333333333333,0.000536870912,0.01572864,0.0037974685739019967,0.11125396212603506
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,32,1,0,0.1096799969673156,1342177280,167772160,8.0,312.5,0.0256,0.000536870912,0.02097152,0.004894884453361048,0.19120642395941592
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,64,1,0,0.2021173238754272,5368709120,251658240,21.333333333333332,312.5,0.06826666666666666,0.002147483648,0.03145728,0.010624936085753729,0.15563871219365813
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,64,1,0,0.133701334396998,5368709120,335544320,16.0,312.5,0.0512,0.002147483648,0.04194304,0.01606179667304964,0.3137069662705008
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,128,1,0,0.3168266614278157,21474836480,503316480,42.666666666666664,312.5,0.1365333333333333,0.008589934592,0.06291456,0.027112410784144475,0.19857722742293316
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,128,1,0,0.1828479965527852,21474836480,671088640,32.0,312.5,0.1024,0.008589934592,0.08388608,0.04697855461336831,0.4587749473961749
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,256,1,0,0.5799520015716553,85899345920,1006632960,85.33333333333333,312.5,0.2730666666666666,0.034359738368,0.12582912,0.05924583116341693,0.2169647137332163
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,256,1,0,0.3480960130691528,85899345920,1342177280,64.0,312.5,0.2048,0.034359738368,0.16777216,0.09870764696513226,0.4819709324469349
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,512,1,0,1.2281813621520996,343597383680,2013265920,170.66666666666666,312.5,0.5461333333333332,0.137438953472,0.25165824,0.11190444482170817,0.2049031582428738
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,512,1,0,0.7461280028025309,343597383680,2684354560,128.0,312.5,0.4096,0.137438953472,0.33554432,0.18420291552624435,0.449714149233995
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,1024,1,0,2.776394526163737,1374389534720,4026531840,341.3333333333333,312.5,1.0922666666666665,0.549755813888,0.50331648,0.1980106965012718,0.18128420700189676
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,1024,1,0,1.889285405476888,1374389534720,5368709120,256.0,312.5,0.8192,0.549755813888,0.67108864,0.2909861116241631,0.35520765579121477
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,1536,1,0,4.662234624226888,3092376453120,6039797760,512.0,312.5,1.6384,1.236950581248,0.75497472,0.26531281262000334,0.16193408973388876
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,1536,1,0,3.767402648925781,3092376453120,8053063680,384.0,312.5,1.2288,1.236950581248,1.00663296,0.3283298061067877,0.2671954802301332
