framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency,ops,mem_bytes,intensity_op,intensity_hw,rel_ratio,sol_math,sol_mem,mfu,mbu
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,128,1024,1,1,1,0.1402186652024587,570425344,285802496,1.995872506305893,625.0,0.003193396010089429,0.0001140850688,0.035725312,0.0008136225561359825,0.2547828561084717
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,128,1024,1,1,1,0.0830240001281102,570425344,286392320,1.9917620137299772,312.5,0.006373638443935927,0.0002281701376,0.03579904,0.0027482431254567596,0.4311890531022389
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,64,1024,1,2,1,0.0807466655969619,285212672,143196160,1.9917620137299772,625.0,0.0031868192219679636,5.70425344e-05,0.01789952,0.000706438265633426,0.2216750359617756
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,64,1024,1,2,1,0.0607306659221649,285212672,143785984,1.98359161349134,312.5,0.006347493163172288,0.0001140850688,0.017973248,0.0018785413772049932,0.29595012218432293
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,32,1024,1,4,1,0.0829866677522659,142606336,71892992,1.98359161349134,625.0,0.003173746581586144,2.85212672e-05,0.008986624,0.0003436849312366955,0.10828997287645191
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,32,1024,1,4,1,0.0894773304462432,142606336,72482816,1.9674502712477395,312.5,0.006295840867992767,5.70425344e-05,0.009060351999999999,0.0006375082282351998,0.1012586311506392
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,16,1024,1,8,1,0.0457013348738352,71303168,36241408,1.9674502712477395,625.0,0.0031479204339963833,1.42606336e-05,0.0045301759999999995,0.00031203976075028076,0.09912568226959172
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,16,1024,1,8,1,0.0556320001681645,71303168,36831232,1.9359430604982206,312.5,0.006195017793594306,2.85212672e-05,0.004603904,0.0005126773639952881,0.0827563989445519
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,8,1024,1,16,1,0.0376159995794296,35651584,18415616,1.9359430604982206,625.0,0.003097508896797153,7.1303168e-06,0.002301952,0.0001895554253435081,0.06119608745579708
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,8,1024,1,16,1,0.0489653348922729,35651584,19005440,1.8758620689655172,312.5,0.0060027586206896555,1.42606336e-05,0.00237568,0.00029123937641546563,0.048517589131712446
