framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,1,8,ulysses,0.24368319511413575
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,1,8,ulysses,0.20986559391021728
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,1,8,ulysses,0.24320640563964843
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,1,8,ulysses,0.20988800525665283
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,1,8,ulysses,0.24412159919738768
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,1,8,ulysses,0.21008000373840333
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,106480,512,5,128,1,8,ulysses,0.29143359661102297
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,106480,257,5,128,1,8,ulysses,0.22894079685211183
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,13310,512,40,128,1,8,ring,0.4311520099639893
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,13310,257,40,128,1,8,ring,0.2914975881576538
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,13310,512,40,128,1,8,ring,0.2920448064804077
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,13310,257,40,128,1,8,ring,0.22873599529266359
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,2,4,ulysses,0.42427840232849123
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,2,4,ulysses,0.2866847991943359
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,106480,512,5,128,2,4,ulysses,0.2861504077911377
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,106480,257,5,128,2,4,ulysses,0.22430078983306884
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,26620,512,20,128,2,4,ring,0.42360639572143555
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,26620,257,20,128,2,4,ring,0.28644800186157227
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,26620,512,20,128,2,4,ring,0.2858112096786499
