framework,version,device,op_name,kernel_source,batch_size,seq_len,hidden_size,tp_size,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,1,1.4988224029541015
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,2,1.4992575645446777
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,4,1.4993375778198241
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,8,1.5015263557434082
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,1,2.4692415237426757
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,2,2.4692575454711916
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,4,2.469964790344238
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,8,2.469340705871582
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,1,3.363612747192383
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,2,3.3643070220947267
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,4,3.3638111114501954
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,8,3.363142395019531
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,1,3.6805088043212892
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,2,3.6798847198486326
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,4,3.679536056518555
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,8,3.680070495605469
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,1,5.549327850341797
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,2,5.54919662475586
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,4,5.548643112182617
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,8,5.549375915527344
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,1,1.4976384162902832
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,2,1.4975808143615723
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,4,1.4973695755004883
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,19110,5120,8,1.4994144439697266
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,1,2.4664064407348634
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,2,2.466534423828125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,4,2.467353630065918
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,31590,5120,8,2.4666175842285156
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,1,3.3606494903564452
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,2,3.3617088317871096
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,4,3.3618560791015626
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,43120,5120,8,3.361654281616211
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,1,3.676416015625
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,2,3.6777694702148436
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,4,3.6766014099121094
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,47190,5120,8,3.676380920410156
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,1,5.545641708374023
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,2,5.5469921112060545
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,4,5.5466655731201175
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,71280,5120,8,5.545622253417969
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,106480,5120,1,8.2857666015625
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,106480,5120,2,8.288301086425781
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,106480,5120,4,8.286083221435547
SGLang,0.5.10,NVIDIA H100 80GB HBM3,fp32_layernorm_modulation,torch_layernorm_modulation,1,106480,5120,8,8.287996673583985
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,torch_rmsnorm,1,19110,5120,1,1.527791976928711
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,19110,2560,2,0.07251840233802795
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,19110,1280,4,0.03776639997959137
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,19110,640,8,0.027744001150131224
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,31590,5120,1,0.24108800888061524
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,31590,2560,2,0.11698880195617675
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,31590,1280,4,0.05885440111160278
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,31590,640,8,0.0426144003868103
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,43120,5120,1,0.3269023895263672
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,43120,2560,2,0.15792319774627686
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,43120,1280,4,0.0788640022277832
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,43120,640,8,0.056569600105285646
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,5120,1,0.3571743965148926
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,2560,2,0.172435200214386
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,1280,4,0.08579199910163879
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,47190,640,8,0.061247998476028444
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,5120,1,0.5368927955627442
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,2560,2,0.258243203163147
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,1280,4,0.1274783968925476
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,71280,640,8,0.09016960263252258
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,5120,1,0.7993887901306153
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,2560,2,0.3834144115447998
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,1280,4,0.18812799453735352
SGLang,0.5.10,NVIDIA H100 80GB HBM3,rmsnorm_qk,sglang_rmsnorm,1,106480,640,8,0.13249919414520264
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,19110,5120,1,1.5480256080627441
