framework,version,device,op_name,kernel_source,batch_size,seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,40,128,1,1,none,1.5459199905395509
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,20,128,1,2,ulysses,0.7818111896514892
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,53240,40,128,1,2,ring,0.7903168201446533
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,10,128,1,4,ulysses,0.3983680009841919
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,26620,40,128,1,4,ring,0.397273588180542
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,5,128,1,8,ulysses,0.208351993560791
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,13310,40,128,1,8,ring,0.2017983913421631
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,20,128,2,1,none,0.7815936088562012
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,10,128,2,2,ulysses,0.398089599609375
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,53240,20,128,2,2,ring,0.4013696193695068
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,5,128,2,4,ulysses,0.20830399990081788
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,26620,20,128,2,4,ring,0.20315520763397216
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,13310,20,128,2,8,ring,0.10490560531616211
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,10,128,4,1,none,0.39836480617523196
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,5,128,4,2,ulysses,0.20835840702056885
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,53240,10,128,4,2,ring,0.205731201171875
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,26620,10,128,4,4,ring,0.10578559637069702
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,13310,10,128,4,8,ring,0.0543936014175415
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,106480,5,128,8,1,none,0.20832641124725343
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,53240,5,128,8,2,ring,0.10886399745941162
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,26620,5,128,8,4,ring,0.05736320018768311
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,13310,5,128,8,8,ring,0.02786880135536194
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,71280,40,128,1,1,none,1.047056007385254
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,71280,20,128,1,2,ulysses,0.5306240081787109
